GeneName,isSU2CSurfaceProtein,isSurfaceomeSurfaceProtein,isCDDSurfaceProtein,isGOSurfaceProtein,isSurfaceProteinEvidence,AmiGo...GO..Intrinsic,AmiGo...GO..Extrinsic,knowledge,experiments,prediction,textmining,CellSurfaceProteinAtlas,HumanProteinAtlas,Evidence_count,NewCount
CDH2,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,plasma-membrane|cell|catenin-complex|cellular_component|cell-periphery|protein-complex|plasma-membrane-part|membrane|macromolecular-complex|cell-part|BFO_0000001|membrane-part|extrinsic-component-of-plasma-membrane|extrinsic-component-of-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,11,13
CDH1,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,plasma-membrane|cell|catenin-complex|cellular_component|cell-periphery|protein-complex|plasma-membrane-part|membrane|macromolecular-complex|cell-part|BFO_0000001|membrane-part|extrinsic-component-of-plasma-membrane|extrinsic-component-of-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,11,13
SORL1,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
SLC46A1,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
SLC19A1,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
NEO1,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
NCAM1,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|anchored-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
MYOF,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
MET,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
L1CAM,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
JAG1,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
ITGB7,Y,Y,Y,Y,Y,integrin-complex|plasma-membrane|cell|intrinsic-component-of-plasma-membrane|intrinsic-component-of-membrane|cellular_component|cell-periphery|protein-complex-involved-in-cell-adhesion|receptor-complex|protein-complex|plasma-membrane-part|membrane|integral-component-of-plasma-membrane|macromolecular-complex|cell-part|BFO_0000001|integral-component-of-membrane|membrane-part,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
ITGB5,Y,Y,Y,Y,Y,integrin-complex|plasma-membrane|cell|intrinsic-component-of-plasma-membrane|intrinsic-component-of-membrane|cellular_component|cell-periphery|protein-complex-involved-in-cell-adhesion|receptor-complex|protein-complex|plasma-membrane-part|membrane|integral-component-of-plasma-membrane|macromolecular-complex|cell-part|BFO_0000001|integral-component-of-membrane|membrane-part,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
ITGA7,Y,Y,Y,Y,Y,integrin-complex|plasma-membrane|cell|intrinsic-component-of-plasma-membrane|intrinsic-component-of-membrane|cellular_component|cell-periphery|protein-complex-involved-in-cell-adhesion|receptor-complex|protein-complex|plasma-membrane-part|membrane|integral-component-of-plasma-membrane|macromolecular-complex|cell-part|BFO_0000001|integral-component-of-membrane|membrane-part,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
ITGA3,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
IL7R,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
IL6ST,Y,Y,Y,Y,Y,plasma-membrane|intrinsic-component-of-plasma-membrane|cell|intrinsic-component-of-membrane|cellular_component|cell-periphery|receptor-complex|protein-complex|plasma-membrane-part|membrane|integral-component-of-plasma-membrane|macromolecular-complex|oncostatin-M-receptor-complex|cell-part|BFO_0000001|membrane-part|integral-component-of-membrane,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
GPRC5A,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
ERBB3,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
ERBB2,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
EGFR,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
DCBLD2,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
CXADR,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
CDH4,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane,Y,Y,10,12
CD47,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
CD4,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
BTN3A3,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane,Y,Y,10,12
BTN2A1,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
ATP6V0A2,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane,Y,Y,10,12
ABCC4,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
ABCC1,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,10,12
VIPR1,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,9,11
UNC5C,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,Y,9,11
UNC5A,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,Y,9,11
ULBP2,Y,Y,N,Y,Y,plasma-membrane-part|plasma-membrane|membrane|cell-part|BFO_0000001|intrinsic-component-of-plasma-membrane|cell|intrinsic-component-of-membrane|membrane-part|cellular_component|anchored-component-of-membrane|anchored-component-of-plasma-membrane|cell-periphery,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,9,11
TYRO3,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,9,11
TTYH3,Y,Y,Y,Y,Y,protein-complex|membrane|ion-channel-complex|transmembrane-transporter-complex|macromolecular-complex|BFO_0000001|chloride-channel-complex|intrinsic-component-of-membrane|cellular_component|integral-component-of-membrane|membrane-part|transporter-complex,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,Y,9,11
TTYH2,Y,Y,Y,Y,Y,protein-complex|membrane|ion-channel-complex|transmembrane-transporter-complex|macromolecular-complex|BFO_0000001|chloride-channel-complex|intrinsic-component-of-membrane|cellular_component|integral-component-of-membrane|membrane-part|transporter-complex,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,Y,9,11
TSPAN9,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,9,11
TSPAN4,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,Y,9,11
TSPAN15,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,9,11
TSHR,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,9,11
TRPV2,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,9,11
TRPM4,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane,N,Y,10,11
TRPC6,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,Y,9,11
TRHDE,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,9,11
TMPRSS5,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,Y,9,11
TIE1,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,9,11
THBD,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,9,11
TGFBR3,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,9,11
TEK,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,9,11
TBXA2R,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,9,11
SUCNR1,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,Y,9,11
STIM1,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,9,11
STEAP4,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,Y,9,11
STAB1,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,9,11
ST14,Y,Y,Y,Y,Y,NA,plasma-membrane-part|membrane|plasma-membrane|cell-part|cell|BFO_0000001|membrane-part|cellular_component|extrinsic-component-of-plasma-membrane|extrinsic-component-of-membrane|cell-periphery,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,9,11
SMO,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,9,11
SLCO4C1,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,Y,9,11
SLCO4A1,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,Y,9,11
SLCO3A1,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane,Y,Y,9,11
SLCO2A1,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,9,11
SLCO1B3,Y,Y,Y,Y,Y,plasma-membrane-part|plasma-membrane|membrane|integral-component-of-plasma-membrane|cell-part|intrinsic-component-of-plasma-membrane|cell|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|cellular_component|membrane-part|cell-periphery,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,N,Y,10,11
SLC9A1,Y,Y,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,9,11
SLC7A5,Y,Y,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,9,11
SLC6A2,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,9,11
SLC6A14,Y,Y,Y,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,NA,Plasma-membrane-part,Y,Y,9,11
SLC4A7,Y,Y,N,Y,Y,membrane|BFO_0000001|intrinsic-component-of-membrane|integral-component-of-membrane|membrane-part|cellular_component,NA,Plasma-membrane,Plasma-membrane,Plasma-membrane,Plasma-membrane-part,Y,Y,9,11
