row	column	cor	p	group	DiffExp
1	T.cells_CD8	CytolyticScore	 9.117647e-01	8.818986e-07	ASPS	NA
2	T.cells_CD8	ACRBP	-9.411765e-02	7.288144e-01	ASPS	0
3	CytolyticScore	ACRBP	 1.176471e-02	9.655082e-01	ASPS	0
4	T.cells_CD8	ACTL8	-5.777936e-02	8.316810e-01	ASPS	0
5	CytolyticScore	ACTL8	 1.333370e-01	6.225130e-01	ASPS	0
6	T.cells_CD8	ACVR1B	 1.794118e-01	5.061395e-01	ASPS	0
7	CytolyticScore	ACVR1B	 9.117647e-02	7.370050e-01	ASPS	0
8	T.cells_CD8	ADAM2	-8.796511e-02	7.459783e-01	ASPS	0
9	CytolyticScore	ADAM2	-1.413725e-02	9.585574e-01	ASPS	0
10	T.cells_CD8	ADAM29	 2.949865e-03	9.913493e-01	ASPS	0
11	CytolyticScore	ADAM29	-6.489704e-02	8.112748e-01	ASPS	0
12	T.cells_CD8	AKAP3	-3.558824e-01	1.761037e-01	ASPS	0
13	CytolyticScore	AKAP3	-3.117647e-01	2.398000e-01	ASPS	0
14	T.cells_CD8	AKAP4	-8.197579e-02	7.627951e-01	ASPS	0
15	CytolyticScore	AKAP4	 6.040321e-02	8.241461e-01	ASPS	0
16	T.cells_CD8	ANKRD30BP2	NA	NA	ASPS	0
17	CytolyticScore	ANKRD30BP2	NA	NA	ASPS	0
18	T.cells_CD8	ANKRD45	-3.176471e-01	2.305735e-01	ASPS	0
19	CytolyticScore	ANKRD45	-3.117647e-01	2.398000e-01	ASPS	0
20	T.cells_CD8	ARMC3	 3.834825e-02	8.878693e-01	ASPS	0
21	CytolyticScore	ARMC3	 7.374663e-02	7.860627e-01	ASPS	0
22	T.cells_CD8	ARX	-2.058824e-02	9.396737e-01	ASPS	0
23	CytolyticScore	ARX	-1.029412e-01	7.044104e-01	ASPS	0
24	T.cells_CD8	ATAD2	 1.588235e-01	5.568613e-01	ASPS	0
25	CytolyticScore	ATAD2	 3.823529e-02	8.881977e-01	ASPS	0
26	T.cells_CD8	ATIC	-1.029412e-01	7.044104e-01	ASPS	0
27	CytolyticScore	ATIC	-3.470588e-01	1.878344e-01	ASPS	0
28	T.cells_CD8	BAGE2	-3.640728e-01	1.656581e-01	ASPS	0
29	CytolyticScore	BAGE2	-3.640728e-01	1.656581e-01	ASPS	0
30	T.cells_CD8	BRDT	 1.037038e-01	7.023134e-01	ASPS	0
31	CytolyticScore	BRDT	 1.680717e-01	5.338079e-01	ASPS	0
32	T.cells_CD8	CABYR	 5.882353e-03	9.827505e-01	ASPS	0
33	CytolyticScore	CABYR	 1.352941e-01	6.173674e-01	ASPS	0
34	T.cells_CD8	CAGE1	 2.574715e-01	3.356938e-01	ASPS	0
35	CytolyticScore	CAGE1	 3.075354e-01	2.465745e-01	ASPS	0
36	T.cells_CD8	CALR3	-1.522558e-01	5.734897e-01	ASPS	0
37	CytolyticScore	CALR3	-1.253871e-01	6.435813e-01	ASPS	0
38	T.cells_CD8	CCDC110	 2.411765e-01	3.682066e-01	ASPS	0
39	CytolyticScore	CCDC110	 2.029412e-01	4.509612e-01	ASPS	0
40	T.cells_CD8	CCDC33	 1.146688e-01	6.723915e-01	ASPS	0
41	CytolyticScore	CCDC33	 9.424833e-02	7.284511e-01	ASPS	0
42	T.cells_CD8	CCDC36	 7.058824e-02	7.950393e-01	ASPS	0
43	CytolyticScore	CCDC36	 3.529412e-02	8.967532e-01	ASPS	0
44	T.cells_CD8	CCDC62	-2.735294e-01	3.053232e-01	ASPS	0
45	CytolyticScore	CCDC62	-4.705882e-02	8.626037e-01	ASPS	0
46	T.cells_CD8	CCDC83	-7.925305e-02	7.704735e-01	ASPS	0
47	CytolyticScore	CCDC83	 2.300895e-02	9.325949e-01	ASPS	0
48	T.cells_CD8	CEP290	-1.176471e-02	9.655082e-01	ASPS	0
49	CytolyticScore	CEP290	 1.058824e-01	6.963341e-01	ASPS	0
50	T.cells_CD8	CEP55	 2.852941e-01	2.841387e-01	ASPS	0
51	CytolyticScore	CEP55	 8.529412e-02	7.534651e-01	ASPS	0
52	T.cells_CD8	COX6B2	 1.839588e-01	4.952372e-01	ASPS	0
53	CytolyticScore	COX6B2	 1.383370e-01	6.094002e-01	ASPS	0
54	T.cells_CD8	CPXCR1	 3.164532e-01	2.324277e-01	ASPS	0
55	CytolyticScore	CPXCR1	 1.731536e-01	5.213252e-01	ASPS	0
56	T.cells_CD8	CR1	-2.647059e-02	9.224806e-01	ASPS	0
57	CytolyticScore	CR1	 1.176471e-02	9.655082e-01	ASPS	0
58	T.cells_CD8	CRISP2	NA	NA	ASPS	0
59	CytolyticScore	CRISP2	NA	NA	ASPS	0
60	T.cells_CD8	CSAG1	 7.669650e-02	7.777014e-01	ASPS	0
61	CytolyticScore	CSAG1	-4.719785e-02	8.622014e-01	ASPS	0
62	T.cells_CD8	CSAG2	 1.287357e-01	6.346748e-01	ASPS	0
63	CytolyticScore	CSAG2	 2.896554e-01	2.765161e-01	ASPS	0
64	T.cells_CD8	CT45A1	NA	NA	ASPS	0
65	CytolyticScore	CT45A1	NA	NA	ASPS	0
66	T.cells_CD8	CT45A2	NA	NA	ASPS	0
67	CytolyticScore	CT45A2	NA	NA	ASPS	0
68	T.cells_CD8	CT45A3	 2.479853e-01	3.544157e-01	ASPS	0
69	CytolyticScore	CT45A3	 1.712888e-01	5.258900e-01	ASPS	0
70	T.cells_CD8	CT45A5	-3.323515e-02	9.027490e-01	ASPS	0
71	CytolyticScore	CT45A5	-7.158340e-02	7.922082e-01	ASPS	0
72	T.cells_CD8	CT45A6	 3.640728e-01	1.656581e-01	ASPS	0
73	CytolyticScore	CT45A6	 3.080616e-01	2.457252e-01	ASPS	0
74	T.cells_CD8	CT47A1	NA	NA	ASPS	0
75	CytolyticScore	CT47A1	NA	NA	ASPS	0
76	T.cells_CD8	CT47A10	NA	NA	ASPS	0
77	CytolyticScore	CT47A10	NA	NA	ASPS	0
78	T.cells_CD8	CT47A11	NA	NA	ASPS	0
79	CytolyticScore	CT47A11	NA	NA	ASPS	0
80	T.cells_CD8	CT47A2	NA	NA	ASPS	0
81	CytolyticScore	CT47A2	NA	NA	ASPS	0
82	T.cells_CD8	CT47A3	NA	NA	ASPS	0
83	CytolyticScore	CT47A3	NA	NA	ASPS	0
84	T.cells_CD8	CT47A4	NA	NA	ASPS	0
85	CytolyticScore	CT47A4	NA	NA	ASPS	0
86	T.cells_CD8	CT47A5	NA	NA	ASPS	0
87	CytolyticScore	CT47A5	NA	NA	ASPS	0
88	T.cells_CD8	CT47A6	NA	NA	ASPS	0
89	CytolyticScore	CT47A6	NA	NA	ASPS	0
90	T.cells_CD8	CT47A7	NA	NA	ASPS	0
91	CytolyticScore	CT47A7	NA	NA	ASPS	0
92	T.cells_CD8	CT47A8	NA	NA	ASPS	0
93	CytolyticScore	CT47A8	NA	NA	ASPS	0
94	T.cells_CD8	CT47A9	NA	NA	ASPS	0
95	CytolyticScore	CT47A9	NA	NA	ASPS	0
96	T.cells_CD8	CT47B1	 3.640728e-01	1.656581e-01	ASPS	0
97	CytolyticScore	CT47B1	 3.080616e-01	2.457252e-01	ASPS	0
98	T.cells_CD8	CT55	 2.106662e-01	4.335331e-01	ASPS	0
99	CytolyticScore	CT55	 1.393638e-01	6.067211e-01	ASPS	0
100	T.cells_CD8	CT83	NA	NA	ASPS	0
101	CytolyticScore	CT83	NA	NA	ASPS	0
102	T.cells_CD8	CTAG1A	 3.075354e-01	2.465745e-01	ASPS	0
103	CytolyticScore	CTAG1A	 4.326951e-01	9.413144e-02	ASPS	0
104	T.cells_CD8	CTAG1B	-9.923385e-02	7.146327e-01	ASPS	0
105	CytolyticScore	CTAG1B	 4.314515e-02	8.739415e-01	ASPS	0
106	T.cells_CD8	CTAG2	 3.579170e-02	8.953051e-01	ASPS	0
107	CytolyticScore	CTAG2	 2.914467e-01	2.734216e-01	ASPS	0
108	T.cells_CD8	CTAGE1	 3.471480e-01	1.877133e-01	ASPS	0
109	CytolyticScore	CTAGE1	 2.057755e-01	4.445263e-01	ASPS	0
110	T.cells_CD8	CTAGE3P	 1.780722e-01	5.093727e-01	ASPS	0
111	CytolyticScore	CTAGE3P	 1.353937e-01	6.171060e-01	ASPS	0
112	T.cells_CD8	CTAGE5	-1.764706e-01	5.132506e-01	ASPS	0
113	CytolyticScore	CTAGE5	-3.176471e-01	2.305735e-01	ASPS	0
114	T.cells_CD8	CTCFL	-3.038361e-01	2.525965e-01	ASPS	0
115	CytolyticScore	CTCFL	-3.244852e-01	2.201333e-01	ASPS	0
116	T.cells_CD8	CTNNA2	 1.558824e-01	5.642820e-01	ASPS	0
117	CytolyticScore	CTNNA2	-2.941176e-02	9.138956e-01	ASPS	0
118	T.cells_CD8	DCAF12	-1.941176e-01	4.712897e-01	ASPS	0
119	CytolyticScore	DCAF12	-2.470588e-01	3.562750e-01	ASPS	0
120	T.cells_CD8	DDX43	 8.529412e-02	7.534651e-01	ASPS	0
121	CytolyticScore	DDX43	 3.470588e-01	1.878344e-01	ASPS	0
122	T.cells_CD8	DDX53	 8.197579e-02	7.627951e-01	ASPS	0
123	CytolyticScore	DDX53	-1.294355e-02	9.620543e-01	ASPS	0
124	T.cells_CD8	DKKL1	-1.164309e-01	6.676244e-01	ASPS	0
125	CytolyticScore	DKKL1	 3.881029e-02	8.865264e-01	ASPS	0
126	T.cells_CD8	DMRT1	-3.548634e-02	8.961938e-01	ASPS	0
127	CytolyticScore	DMRT1	-6.083373e-02	8.229111e-01	ASPS	0
128	T.cells_CD8	DNAJB8	 3.080616e-01	2.457252e-01	ASPS	0
129	CytolyticScore	DNAJB8	 4.200840e-01	1.052281e-01	ASPS	0
130	T.cells_CD8	DPPA2	 3.400211e-01	1.975494e-01	ASPS	0
131	CytolyticScore	DPPA2	 3.349080e-01	2.048086e-01	ASPS	0
132	T.cells_CD8	DSCR8	-1.900675e-01	4.807686e-01	ASPS	0
133	CytolyticScore	DSCR8	-2.858866e-01	2.830959e-01	ASPS	0
134	T.cells_CD8	ELOVL4	 1.794118e-01	5.061395e-01	ASPS	0
135	CytolyticScore	ELOVL4	 1.264706e-01	6.406944e-01	ASPS	0
136	T.cells_CD8	EPPIN	-1.639516e-01	5.440252e-01	ASPS	0
137	CytolyticScore	EPPIN	-3.020161e-02	9.115916e-01	ASPS	0
138	T.cells_CD8	FAM133A	 2.743375e-01	3.038391e-01	ASPS	0
139	CytolyticScore	FAM133A	 1.209445e-01	6.554679e-01	ASPS	0
140	T.cells_CD8	FAM46D	-1.294355e-01	6.328196e-01	ASPS	0
141	CytolyticScore	FAM46D	-1.294355e-01	6.328196e-01	ASPS	0
142	T.cells_CD8	FATE1	-6.470588e-02	8.118215e-01	ASPS	0
