row	column	cor	p	group	DiffExp
1	T.cells_CD8	CytolyticScore	 9.117647e-01	8.818986e-07	ASPS	NA
2	T.cells_CD8	ADNP	-4.647059e-01	6.974368e-02	ASPS	0
3	CytolyticScore	ADNP	-5.705882e-01	2.099070e-02	ASPS	0
4	T.cells_CD8	ADNP2	-1.205882e-01	6.564245e-01	ASPS	0
5	CytolyticScore	ADNP2	-1.794118e-01	5.061395e-01	ASPS	0
6	T.cells_CD8	AHR	 2.352941e-01	3.803558e-01	ASPS	0
7	CytolyticScore	AHR	 2.617647e-01	3.274104e-01	ASPS	0
8	T.cells_CD8	AHRR	-2.647059e-01	3.218044e-01	ASPS	0
9	CytolyticScore	AHRR	-1.911765e-01	4.781640e-01	ASPS	0
10	T.cells_CD8	ALX1	-3.008863e-01	2.574631e-01	ASPS	0
11	CytolyticScore	ALX1	-2.920367e-01	2.724070e-01	ASPS	0
12	T.cells_CD8	ALX3	-1.120535e-01	6.794885e-01	ASPS	0
13	CytolyticScore	ALX3	-1.448968e-01	5.923652e-01	ASPS	0
14	T.cells_CD8	ALX4	 5.000000e-02	8.540996e-01	ASPS	0
15	CytolyticScore	ALX4	 5.588235e-02	8.371372e-01	ASPS	0
16	T.cells_CD8	AR	-2.147059e-01	4.245592e-01	ASPS	0
17	CytolyticScore	AR	-2.529412e-01	3.445630e-01	ASPS	0
18	T.cells_CD8	ARGFX	NA	NA	ASPS	0
19	CytolyticScore	ARGFX	NA	NA	ASPS	0
20	T.cells_CD8	ARID3A	 2.411765e-01	3.682066e-01	ASPS	0
21	CytolyticScore	ARID3A	 4.000000e-01	1.247504e-01	ASPS	0
22	T.cells_CD8	ARID3B	 3.352941e-01	2.042546e-01	ASPS	0
23	CytolyticScore	ARID3B	 5.029412e-01	4.706314e-02	ASPS	0
24	T.cells_CD8	ARID3C	 7.700800e-02	7.768198e-01	ASPS	0
25	CytolyticScore	ARID3C	 1.117371e-01	6.803488e-01	ASPS	0
26	T.cells_CD8	ARID4A	-1.676471e-01	5.348568e-01	ASPS	0
27	CytolyticScore	ARID4A	-1.294118e-01	6.328823e-01	ASPS	0
28	T.cells_CD8	ARID4B	-1.470588e-02	9.568919e-01	ASPS	0
29	CytolyticScore	ARID4B	-6.470588e-02	8.118215e-01	ASPS	0
30	T.cells_CD8	ARID5A	 3.794118e-01	1.472271e-01	ASPS	0
31	CytolyticScore	ARID5A	 4.676471e-01	6.776085e-02	ASPS	0
32	T.cells_CD8	ARID5B	-4.117647e-02	8.796536e-01	ASPS	0
33	CytolyticScore	ARID5B	-7.058824e-02	7.950393e-01	ASPS	0
34	T.cells_CD8	ARNT	-5.323529e-01	3.376862e-02	ASPS	0
35	CytolyticScore	ARNT	-5.764706e-01	1.941514e-02	ASPS	0
36	T.cells_CD8	ARNT2	-5.588235e-02	8.371372e-01	ASPS	0
37	CytolyticScore	ARNT2	 0.000000e+00	1.000000e+00	ASPS	0
38	T.cells_CD8	ARNTL	 5.058824e-01	4.558162e-02	ASPS	0
39	CytolyticScore	ARNTL	 4.470588e-01	8.253692e-02	ASPS	0
40	T.cells_CD8	ARNTL2	 4.323529e-01	9.442104e-02	ASPS	0
41	CytolyticScore	ARNTL2	 4.823529e-01	5.845898e-02	ASPS	0
42	T.cells_CD8	ARX	-2.058824e-02	9.396737e-01	ASPS	0
43	CytolyticScore	ARX	-1.029412e-01	7.044104e-01	ASPS	0
44	T.cells_CD8	ASCL1	-6.567896e-02	8.090398e-01	ASPS	0
45	CytolyticScore	ASCL1	-2.059931e-01	4.440342e-01	ASPS	0
46	T.cells_CD8	ASCL3	 4.314515e-02	8.739415e-01	ASPS	0
47	CytolyticScore	ASCL3	-4.314515e-03	9.873476e-01	ASPS	0
48	T.cells_CD8	ASCL4	-3.377349e-02	9.011808e-01	ASPS	0
49	CytolyticScore	ASCL4	 9.517983e-02	7.258632e-01	ASPS	0
50	T.cells_CD8	ASCL5	-3.029412e-01	2.540669e-01	ASPS	0
51	CytolyticScore	ASCL5	-3.411765e-01	1.959326e-01	ASPS	0
52	T.cells_CD8	ATF1	 9.411765e-02	7.288144e-01	ASPS	0
53	CytolyticScore	ATF1	-2.058824e-02	9.396737e-01	ASPS	0
54	T.cells_CD8	ATF3	-6.470588e-02	8.118215e-01	ASPS	0
55	CytolyticScore	ATF3	-1.205882e-01	6.564245e-01	ASPS	0
56	T.cells_CD8	ATF4	-2.705882e-01	3.107606e-01	ASPS	0
57	CytolyticScore	ATF4	-4.352941e-01	9.195236e-02	ASPS	0
58	T.cells_CD8	ATF5	 5.588235e-02	8.371372e-01	ASPS	0
59	CytolyticScore	ATF5	-1.088235e-01	6.882883e-01	ASPS	0
60	T.cells_CD8	ATF6	-1.323529e-01	6.251064e-01	ASPS	0
61	CytolyticScore	ATF6	-1.676471e-01	5.348568e-01	ASPS	0
62	T.cells_CD8	ATF6B	-2.882353e-01	2.789845e-01	ASPS	0
63	CytolyticScore	ATF6B	-3.441176e-01	1.918556e-01	ASPS	0
64	T.cells_CD8	ATF7	-2.117647e-01	4.310832e-01	ASPS	0
65	CytolyticScore	ATF7	-2.117647e-01	4.310832e-01	ASPS	0
66	T.cells_CD8	ATOH1	-1.931036e-01	4.736543e-01	ASPS	0
67	CytolyticScore	ATOH1	-2.753514e-01	3.019830e-01	ASPS	0
68	T.cells_CD8	ATOH7	 9.825015e-02	7.173528e-01	ASPS	0
69	CytolyticScore	ATOH7	 2.640473e-01	3.230549e-01	ASPS	0
70	T.cells_CD8	ATOH8	 3.647059e-01	1.648684e-01	ASPS	0
71	CytolyticScore	ATOH8	 4.323529e-01	9.442104e-02	ASPS	0
72	T.cells_CD8	BACH1	-3.205882e-01	2.260454e-01	ASPS	0
73	CytolyticScore	BACH1	-3.882353e-01	1.372816e-01	ASPS	0
74	T.cells_CD8	BACH2	 2.647059e-02	9.224806e-01	ASPS	0
75	CytolyticScore	BACH2	 7.058824e-02	7.950393e-01	ASPS	0
76	T.cells_CD8	BARHL1	 3.342285e-01	2.057861e-01	ASPS	0
77	CytolyticScore	BARHL1	 4.636697e-01	7.045222e-02	ASPS	0
78	T.cells_CD8	BARHL2	 3.667338e-01	1.623556e-01	ASPS	0
79	CytolyticScore	BARHL2	 2.977015e-01	2.627816e-01	ASPS	0
80	T.cells_CD8	BARX1	-8.977192e-02	7.409258e-01	ASPS	0
81	CytolyticScore	BARX1	-8.977192e-02	7.409258e-01	ASPS	0
82	T.cells_CD8	BARX2	 4.697716e-01	6.635440e-02	ASPS	0
83	CytolyticScore	BARX2	 3.852803e-01	1.405597e-01	ASPS	0
84	T.cells_CD8	BATF	 5.500000e-01	2.729397e-02	ASPS	0
85	CytolyticScore	BATF	 5.735294e-01	2.019104e-02	ASPS	0
86	T.cells_CD8	BATF2	 1.029412e-01	7.044104e-01	ASPS	0
87	CytolyticScore	BATF2	 1.352941e-01	6.173674e-01	ASPS	0
88	T.cells_CD8	BATF3	 6.441176e-01	7.081524e-03	ASPS	0
89	CytolyticScore	BATF3	 7.147059e-01	1.862741e-03	ASPS	0
90	T.cells_CD8	BBX	-4.176471e-01	1.074741e-01	ASPS	0
91	CytolyticScore	BBX	-4.705882e-01	6.581947e-02	ASPS	0
92	T.cells_CD8	BCL11A	 3.088235e-01	2.444987e-01	ASPS	0
93	CytolyticScore	BCL11A	 1.558824e-01	5.642820e-01	ASPS	0
94	T.cells_CD8	BCL11B	 9.205882e-01	4.320410e-07	ASPS	0
95	CytolyticScore	BCL11B	 8.705882e-01	1.149893e-05	ASPS	0
96	T.cells_CD8	BCL3	 2.852941e-01	2.841387e-01	ASPS	0
97	CytolyticScore	BCL3	 3.617647e-01	1.685588e-01	ASPS	0
98	T.cells_CD8	BCL6	 9.705882e-02	7.206513e-01	ASPS	0
99	CytolyticScore	BCL6	 9.705882e-02	7.206513e-01	ASPS	0
100	T.cells_CD8	BCL6B	 2.000000e-01	4.576879e-01	ASPS	0
101	CytolyticScore	BCL6B	 3.941176e-01	1.309129e-01	ASPS	0
102	T.cells_CD8	BHLHA15	 1.139855e-01	6.742434e-01	ASPS	0
103	CytolyticScore	BHLHA15	 5.989066e-02	8.256168e-01	ASPS	0
104	T.cells_CD8	BHLHA9	 3.080616e-01	2.457252e-01	ASPS	0
105	CytolyticScore	BHLHA9	 4.200840e-01	1.052281e-01	ASPS	0
106	T.cells_CD8	BHLHE22	 3.264706e-01	2.171595e-01	ASPS	0
107	CytolyticScore	BHLHE22	 1.558824e-01	5.642820e-01	ASPS	0
108	T.cells_CD8	BHLHE23	-1.400280e-01	6.049904e-01	ASPS	0
109	CytolyticScore	BHLHE23	-1.400280e-01	6.049904e-01	ASPS	0
110	T.cells_CD8	BHLHE41	 2.058824e-02	9.396737e-01	ASPS	0
111	CytolyticScore	BHLHE41	-1.500000e-01	5.792486e-01	ASPS	0
112	T.cells_CD8	BNC1	 5.294118e-02	8.456104e-01	ASPS	0
113	CytolyticScore	BNC1	 9.117647e-02	7.370050e-01	ASPS	0
114	T.cells_CD8	BNC2	 0.000000e+00	1.000000e+00	ASPS	0
115	CytolyticScore	BNC2	 2.941176e-03	9.913748e-01	ASPS	0
116	T.cells_CD8	BSX	-1.400280e-01	6.049904e-01	ASPS	0
117	CytolyticScore	BSX	-1.400280e-01	6.049904e-01	ASPS	0
118	T.cells_CD8	CASZ1	-2.647059e-02	9.224806e-01	ASPS	0
119	CytolyticScore	CASZ1	 7.647059e-02	7.783410e-01	ASPS	0
120	T.cells_CD8	CDC5L	-6.558824e-01	5.800737e-03	ASPS	0
121	CytolyticScore	CDC5L	-7.029412e-01	2.386953e-03	ASPS	0
122	T.cells_CD8	CDX1	 1.352941e-01	6.173674e-01	ASPS	0
123	CytolyticScore	CDX1	 2.735294e-01	3.053232e-01	ASPS	0
124	T.cells_CD8	CDX2	 4.200840e-01	1.052281e-01	ASPS	0
125	CytolyticScore	CDX2	 3.640728e-01	1.656581e-01	ASPS	0
126	T.cells_CD8	CDX4	-4.076632e-01	1.170275e-01	ASPS	0
127	CytolyticScore	CDX4	-3.826312e-01	1.435433e-01	ASPS	0
128	T.cells_CD8	CEBPA	 2.654879e-01	3.203233e-01	ASPS	0
129	CytolyticScore	CEBPA	 3.952820e-01	1.296768e-01	ASPS	0
130	T.cells_CD8	CEBPB	 2.029412e-01	4.509612e-01	ASPS	0
131	CytolyticScore	CEBPB	 1.176471e-01	6.643411e-01	ASPS	0
132	T.cells_CD8	CEBPD	 4.794118e-01	6.023930e-02	ASPS	0
133	CytolyticScore	CEBPD	 4.088235e-01	1.158878e-01	ASPS	0
134	T.cells_CD8	CEBPE	 1.029412e-01	7.044104e-01	ASPS	0
135	CytolyticScore	CEBPE	 2.764706e-01	2.999421e-01	ASPS	0
136	T.cells_CD8	CEBPG	 1.205882e-01	6.564245e-01	ASPS	0
137	CytolyticScore	CEBPG	 5.588235e-02	8.371372e-01	ASPS	0
138	T.cells_CD8	CIC	-3.176471e-01	2.305735e-01	ASPS	0
139	CytolyticScore	CIC	-2.970588e-01	2.638630e-01	ASPS	0
140	T.cells_CD8	CNOT4	-4.264706e-01	9.949911e-02	ASPS	0
141	CytolyticScore	CNOT4	-5.529412e-01	2.631450e-02	ASPS	0
142	T.cells_CD8	CRAMP1L	-1.147059e-01	6.722910e-01	ASPS	0
143	CytolyticScore	CRAMP1L	 5.882353e-02	8.286808e-01	ASPS	0
144	T.cells_CD8	CREB1	 3.823529e-02	8.881977e-01	ASPS	0
145	CytolyticScore	CREB1	 1.000000e-01	7.125164e-01	ASPS	0
146	T.cells_CD8	CREB3	 1.676471e-01	5.348568e-01	ASPS	0
147	CytolyticScore	CREB3	 8.823529e-03	9.741280e-01	ASPS	0
148	T.cells_CD8	CREB3L1	 1.764706e-01	5.132506e-01	ASPS	0
149	CytolyticScore	CREB3L1	 2.058824e-01	4.442846e-01	ASPS	0
150	T.cells_CD8	CREB3L2	-1.970588e-01	4.644642e-01	ASPS	0
151	CytolyticScore	CREB3L2	-3.382353e-01	2.000656e-01	ASPS	0
152	T.cells_CD8	CREB3L3	 2.916917e-01	2.730000e-01	ASPS	0
153	CytolyticScore	CREB3L3	 3.370659e-01	2.017243e-01	ASPS	0
154	T.cells_CD8	CREB3L4	-2.941176e-01	2.688466e-01	ASPS	0
155	CytolyticScore	CREB3L4	-4.941176e-01	5.172344e-02	ASPS	0
156	T.cells_CD8	CREB5	-2.235294e-01	4.052983e-01	ASPS	0
157	CytolyticScore	CREB5	-6.764706e-02	8.034203e-01	ASPS	0
158	T.cells_CD8	CREBL2	 2.264706e-01	3.989829e-01	ASPS	0
159	CytolyticScore	CREBL2	 8.235294e-02	7.617331e-01	ASPS	0
160	T.cells_CD8	CREBZF	-1.058824e-01	6.963341e-01	ASPS	0
161	CytolyticScore	CREBZF	-1.352941e-01	6.173674e-01	ASPS	0
162	T.cells_CD8	CREM	 2.617647e-01	3.274104e-01	ASPS	0
163	CytolyticScore	CREM	 2.588235e-01	3.330723e-01	ASPS	0
164	T.cells_CD8	CRX	NA	NA	ASPS	0
165	CytolyticScore	CRX	NA	NA	ASPS	0
166	T.cells_CD8	CSRNP1	 3.764706e-01	1.506481e-01	ASPS	0
167	CytolyticScore	CSRNP1	 4.029412e-01	1.217458e-01	ASPS	0
168	T.cells_CD8	CSRNP2	 3.088235e-01	2.444987e-01	ASPS	0
169	CytolyticScore	CSRNP2	 3.176471e-01	2.305735e-01	ASPS	0
170	T.cells_CD8	CSRNP3	 2.470588e-01	3.562750e-01	ASPS	0
171	CytolyticScore	CSRNP3	 1.911765e-01	4.781640e-01	ASPS	0
172	T.cells_CD8	CTCF	-2.500000e-01	3.503915e-01	ASPS	0
173	CytolyticScore	CTCF	-2.911765e-01	2.738870e-01	ASPS	0
174	T.cells_CD8	CTCFL	-3.038361e-01	2.525965e-01	ASPS	0
175	CytolyticScore	CTCFL	-3.244852e-01	2.201333e-01	ASPS	0
176	T.cells_CD8	CUX1	-4.617647e-01	7.176842e-02	ASPS	0
177	CytolyticScore	CUX1	-6.500000e-01	6.415707e-03	ASPS	0
178	T.cells_CD8	CUX2	-2.352941e-02	9.310736e-01	ASPS	0
179	CytolyticScore	CUX2	 2.617647e-01	3.274104e-01	ASPS	0
180	T.cells_CD8	DBP	-4.411765e-02	8.711220e-01	ASPS	0
181	CytolyticScore	DBP	-2.088235e-01	4.376585e-01	ASPS	0
182	T.cells_CD8	DBX1	-1.994109e-01	4.590412e-01	ASPS	0
183	CytolyticScore	DBX1	-2.530984e-01	3.442529e-01	ASPS	0
184	T.cells_CD8	DBX2	 8.197579e-02	7.627951e-01	ASPS	0
185	CytolyticScore	DBX2	 2.588709e-02	9.241847e-01	ASPS	0
186	T.cells_CD8	DDIT3	 3.470588e-01	1.878344e-01	ASPS	0
187	CytolyticScore	DDIT3	 1.676471e-01	5.348568e-01	ASPS	0
188	T.cells_CD8	DEAF1	 2.088235e-01	4.376585e-01	ASPS	0
189	CytolyticScore	DEAF1	 2.470588e-01	3.562750e-01	ASPS	0
190	T.cells_CD8	DLX1	 2.029412e-01	4.509612e-01	ASPS	0
191	CytolyticScore	DLX1	 2.029412e-01	4.509612e-01	ASPS	0
192	T.cells_CD8	DLX2	 3.399559e-01	1.976409e-01	ASPS	0
193	CytolyticScore	DLX2	 2.472407e-01	3.559096e-01	ASPS	0
194	T.cells_CD8	DLX3	 3.117647e-01	2.398000e-01	ASPS	0
195	CytolyticScore	DLX3	 2.794118e-01	2.946177e-01	ASPS	0
196	T.cells_CD8	DLX4	-1.558824e-01	5.642820e-01	ASPS	0
197	CytolyticScore	DLX4	-2.500000e-01	3.503915e-01	ASPS	0
