GeneName	YSTNormalsStatus	RMS.FNNormalsStatus	NB.MYCN.NANormalsStatus	NB.MYCN.ANormalsStatus	WTNormalsStatus	OSNormalsStatus	UDSNormalsStatus	NB.UnknownNormalsStatus	EWSNormalsStatus	SSNormalsStatus	RMS.FPNormalsStatus	CCSKNormalsStatus	MLNormalsStatus	DSRCTNormalsStatus	TeratomaNormalsStatus	ASPSNormalsStatus	HBLNormalsStatus	RowSum
PBK	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	12
PRAME	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	12
KIF2C	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	11
NUF2	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	6
MAGEA3	1	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	6
CEP55	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	5
CTAG1A	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	5
MAGEA2	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	5
MAGEA12	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	5
PAGE5	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	4
MAGEA6	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	4
PAGE2B	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	4
PHOX2B	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3
TTK	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3
MAGEA4	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3
MAGEA9	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3
XAGE1E	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	3
XAGE1D	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	3
PAGE2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3
MAGEA10	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
SSX1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2
MAGEA8	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
CTAG1B	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2
ROPN1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
PAGE1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
SPAG6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
MAGEB2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
LUZP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
TEX14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
CTCFL	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
IGF2BP3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NR6A1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MAGEC1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
SSX2B	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
XAGE1C	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
MAGEA11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
