GeneName	RMS.FPNormalsStatus	RMS.FNNormalsStatus	EWSNormalsStatus	ASPSNormalsStatus	DSRCTNormalsStatus	HBLNormalsStatus	MLNormalsStatus	NB.MYCN.NANormalsStatus	NB.MYCN.ANormalsStatus	NB.UnknownNormalsStatus	OSNormalsStatus	SSNormalsStatus	TeratomaNormalsStatus	UDSNormalsStatus	YSTNormalsStatus	WTNormalsStatus	CCSKNormalsStatus	RowSum
LAG3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGFB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIR2DL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KDR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IDO1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HAVCR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTLA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ICOS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LGALS9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIGIT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSF1R	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTLA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDCD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDCD1LG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL10RB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIR2DL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
