GeneName	RMS.FPNormalsStatus	RMS.FNNormalsStatus	EWSNormalsStatus	ASPSNormalsStatus	DSRCTNormalsStatus	HBLNormalsStatus	MLNormalsStatus	NB.MYCN.NANormalsStatus	NB.MYCN.ANormalsStatus	NB.UnknownNormalsStatus	OSNormalsStatus	SSNormalsStatus	TeratomaNormalsStatus	UDSNormalsStatus	YSTNormalsStatus	WTNormalsStatus	CCSKNormalsStatus	RowSum
PRAME	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	12
ECEL1	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	1	1	9
IGF2BP1	0	1	1	0	0	1	0	1	1	0	0	0	0	1	1	1	0	8
IQGAP3	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	7
MMP9	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	5
FBN3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	5
ADAM12	1	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	5
VWCE	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	5
GPC2	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	5
KREMEN2	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	4
ALK	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	4
SLC18A3	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	4
DIO3	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	4
SLC6A2	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	3
TTK	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3
CHRNA1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
MFI2	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	3
GPR64	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3
SHISA2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	3
TNMD	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
ABCB5	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2
INSRR	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2
IGSF9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2
DLL3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2
EFNA2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2
GPR143	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2
MSLN	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2
OCA2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2
MEP1A	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2
CHRNB4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2
CHRND	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LECT1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
RGR	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
DRD2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2
FGFR4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
SOAT2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2
PRND	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
CYP4F22	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
LRRC15	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2
SLC16A11	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
CLDN6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2
PMEL	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2
CHRNG	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
NTRK1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2
IFITM5	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2
ABCC2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
MUSK	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SLC18A1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
F7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
LPAR2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SDK2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
CNGB1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
EPHA8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DHRS9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
TYR	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
BPIFB2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DCT	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
GP6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PCDH11Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
COL20A1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ISM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ICAM4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TNFSF8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
MMP12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
FZD10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
HAVCR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
SLC5A9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
CPN1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
MLANA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PCDHB8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCC11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
XG	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
