GeneID	GeneName	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR	Normals	CCSK	myLogFC	AvglogFPKM	gene_family	name	refseq_accession	ProteinCoding	CellSurface	ExhaustionMarkers	TranscriptionFactor	CancerGermlineAntigen	PAX3FOXO1	EWSR1FL1	Brain.MeanExp	Heart.MeanExp	Kidney.MeanExp	Liver.MeanExp	Lung.MeanExp
ENSG00000002586	CD99	X	2609220	2659350	+	3284	2.00320887371477	5.70333765347093	6.18350978834718e-17	1.62216788064669e-15	11.4527549631821	45.9198777528579	1.91373430482362	15.8394796818682	Blood group antigens;CD molecules;Pseudoautosomal region 1	CD99 molecule (Xg blood group)	NM_001122898	Y	Y	N	N	Y	N	Y	4.3437040123055	25.0153739428883	8.84515390310944	23.235036263542	28.6676014308198
ENSG00000004848	ARX	X	25021811	25034065	-	2876	-4.25572868572713	-0.871870438520612	0.00408421214714004	0.0126086994399669	0.187768594116651	0.00827496105571392	-0.23636466999811	0.164923949908896	X-linked mental retardation;PRD class homeoboxes and pseudogenes	aristaless related homeobox	NM_139058	Y	N	N	Y	Y	N	N	1.56176118269153	0	0	0	0.0555253822743463
ENSG00000007202	KIAA0100	17	26941458	26972472	-	9235	0.755527562883099	7.00793350265228	6.52929745600576e-08	5.44088610509203e-07	12.8060987288389	21.6202954031502	0.712312063611828	13.9279055782967	NULL	KIAA0100	NM_014680	Y	Y	N	N	Y	N	N	15.3474392872183	12.1302775207046	20.4799088010508	3.2908347662436	11.7570317707832
ENSG00000008294	SPAG9	17	49039535	49198226	-	11948	0.257083645204303	7.10448533371767	0.0753639419140201	0.165973272749088	11.2322562172652	13.4231409017853	0.237694841061191	11.5110960862041	NULL	sperm associated antigen 9	NM_003971	Y	Y	N	N	Y	N	N	21.6903257787119	9.53365974991457	12.0722034379401	9.7469487482083	17.9820102126755
ENSG00000046774	MAGEC2	X	141290131	141293076	-	1991	-1.00787194259201	-3.58468412759896	0.544527277942899	0.856334974558277	0.00240541867521463	0	-0.00346611853012363	0.00209927448018731	MAGE family	MAGE family member C2	NM_016249	Y	N	N	N	Y	N	N	0	0	0	0	0
ENSG00000052126	PLEKHA5	12	19282648	19529334	+	12596	-0.177288466208566	5.49586465120647	0.513291754743854	0.817517306451795	3.62971310686606	3.20984125909833	-0.137156961145866	3.57627487169562	Pleckstrin homology domain containing	pleckstrin homology domain containing A5	NM_019012	Y	N	N	N	Y	N	N	3.20575202705559	9.48122142723887	7.68016984793341	3.32974374805811	2.82677293725076
ENSG00000054796	SPO11	20	55904815	55919050	+	1867	0.310879067025621	-3.63304343065858	0.653468386037297	0.982732494615289	0.000614990523539003	0.00134759255937188	0.00105588523996494	0.000708230782645005	NULL	SPO11, initiator of meiotic double stranded breaks	NM_012444	Y	N	N	N	Y	N	N	0	0	0	0	0
ENSG00000061656	SPAG4	20	34203814	34208971	+	2240	-4.0119790323173	0.625292311875335	3.53199391811589e-09	3.64323833539999e-08	0.749054394906112	0.0440466054142922	-0.744389043097308	0.659326130788971	NULL	sperm associated antigen 4	NM_003116	Y	Y	N	N	Y	N	N	0.375294506279998	0.499359989677159	0.764649092520528	0.690205641244834	0.523384804483848
ENSG00000064199	SPA17	11	124543694	124567414	+	5205	1.11225714134105	1.24639265744145	5.06874710478588e-06	2.98331819623494e-05	0.382584381717029	0.830452666985315	0.404832934464282	0.439585799842083	NULL	sperm autoantigenic protein 17	NM_017425	Y	N	N	N	Y	N	N	1.04339332295208	0.58938119496998	1.997207181294	0.1778849901933	1.23207111084201
ENSG00000065371	ROPN1	3	123687368	123711025	-	4395	-2.66942261660131	-3.01605767118489	0.0012240675084185	0.00426980531284164	0.0118947082785521	0.000882634897377711	-0.0157863682519839	0.0104931716664026	NULL	rhophilin associated tail protein 1	NM_017578	Y	N	N	N	Y	N	N	0.0329522006312013	0.116809532998418	0	0.00706416262787398	0.0029280536325566
