"symbol"	"ensembl_gene_id"	"gene_family"	"name"	"refseq_accession"
"AAVS1"	NA	"NULL"	"adeno-associated virus integration site 1"	"NULL"
"ABHD14A-ACY1"	"ENSG00000114786"	"NULL"	"ABHD14A-ACY1 readthrough"	"NM_001316331"
"ADCP1"	NA	"NULL"	"adenosine deaminase complexing protein 1"	"NULL"
"AGAP11"	"ENSG00000271880"	"ArfGAPs;Ankyrin repeat domain containing;BAR-PH domain containing"	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 11"	"NM_133447"
"AMLCR2"	NA	"NULL"	"acute myeloid leukemia chromosome region 2"	"NULL"
"ANCR"	NA	"NULL"	"Angelman syndrome chromosome region"	"NULL"
"ANKHD1-EIF4EBP3"	"ENSG00000254996"	"NULL"	"ANKHD1-EIF4EBP3 readthrough"	"NM_020690"
"ANKRD62P1-PARP4P3"	"ENSG00000189295"	"NULL"	"ANKRD62P1-PARP4P3 readthrough, transcribed pseudogene"	"NR_040115"
"ANO7L1"	"ENSG00000237276"	"NULL"	"anoctamin 7 like 1"	"XR_001737901"
"ANP32C"	"ENSG00000248546"	"ANP32 acidic nuclear phosphoproteins"	"acidic nuclear phosphoprotein 32 family member C"	"NM_012403"
"AOX3P-AOX2P"	"ENSG00000284084"	"NULL"	"AOX3P-AOX2P readthrough, transcribed pseudogene"	"NR_135011"
"APOC4-APOC2"	"ENSG00000224916"	"NULL"	"APOC4-APOC2 readthrough (NMD candidate)"	"NR_037932"
"ARHGAP19-SLIT1"	"ENSG00000269891"	"NULL"	"ARHGAP19-SLIT1 readthrough (NMD candidate)"	"NR_037909"
"ARHGAP27P1-BPTFP1-KPNA2P3"	"ENSG00000215769"	"NULL"	"ARHGAP27P1-BPTFP1-KPNA2P3 readthrough, transcribed pseudogene"	"NR_026899"
"ARL2-SNX15"	"ENSG00000273003"	"NULL"	"ARL2-SNX15 readthrough (NMD candidate)"	"NR_037650"
"ARMCX5-GPRASP2"	"ENSG00000271147"	"NULL"	"ARMCX5-GPRASP2 readthrough"	"NM_001199818.1"
"ARPC4-TTLL3"	"ENSG00000250151"	"NULL"	"ARPC4-TTLL3 readthrough"	"NM_001198793.1"
"ARSC2"	NA	"Sulfatases"	"arylsulfatase C, isozyme F"	"NULL"
"ATP5MF-PTCD1"	"ENSG00000248919"	"NULL"	"ATP5MF-PTCD1 readthrough"	"NM_001198879.1"
"ATP6V1G2-DDX39B"	"ENSG00000254870"	"NULL"	"ATP6V1G2-DDX39B readthrough (NMD candidate)"	"NR_037853.1"
"ATP11AUN"	"ENSG00000197595"	"NULL"	"ATP11A upstream neighbor"	"NM_207440"
"B2MR"	NA	"NULL"	"beta-2-microglobulin regulator"	"NULL"
"B3GNT10"	"ENSG00000214654"	"NULL"	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 10 (putative)"	"NR_027442"
"BAGE2"	"ENSG00000187172"	"NULL"	"BAGE family member 2"	"NM_182482"
"BCL2L2-PABPN1"	"ENSG00000258643"	"NULL"	"BCL2L2-PABPN1 readthrough"	"NM_001199864"
"BCL6-AS1"	"ENSG00000223401"	"NULL"	"BCL6 antisense 1"	"NULL"
"BIVM-ERCC5"	"ENSG00000270181"	"NULL"	"BIVM-ERCC5 readthrough"	"NM_001204425"
"BLOC1S5-TXNDC5"	"ENSG00000259040"	"NULL"	"BLOC1S5-TXNDC5 readthrough (NMD candidate)"	"NR_037616.1"
"BOLA2-SMG1P6"	"ENSG00000261740"	"NULL"	"BOLA2-SMG1P6 readthrough"	"NM_001320622"
"BORCS7-ASMT"	"ENSG00000270316"	"NULL"	"BORCS7-ASMT readthrough (NMD candidate)"	"NR_037644"
"BORCS8-MEF2B"	"ENSG00000064489"	"NULL"	"BORCS8-MEF2B readthrough"	"NM_005919.3"
"BTNL10"	"ENSG00000215811"	"Butyrophilins;V-set domain containing"	"butyrophilin like 10"	"NM_001287262"
"BUB1B-PAK6"	"ENSG00000259288"	"NULL"	"BUB1B-PAK6 readthrough"	"NM_001128628"
"BVR1"	NA	"NULL"	"Burkitt lymphoma variant rearranging region 1"	"NULL"
"C1orf134"	NA	"NULL"	"chromosome 1 open reading frame 134"	"NULL"
"C1orf137"	"ENSG00000203864"	"NULL"	"chromosome 1 open reading frame 137 (putative)"	"NM_001013643"
"C1orf143"	"ENSG00000228208"	"NULL"	"chromosome 1 open reading frame 143 (putative)"	"NR_146760"
"C1orf147"	"ENSG00000162888"	"NULL"	"chromosome 1 open reading frame 147"	"NULL"
"C1orf195"	"ENSG00000204464"	"NULL"	"chromosome 1 open reading frame 195"	"NM_001278501"
"C1orf196"	NA	"NULL"	"chromosome 1 open reading frame 196"	"NULL"
"C1orf220"	"ENSG00000213057"	"NULL"	"chromosome 1 open reading frame 220 (putative)"	"NR_033186"
"C1orf229"	"ENSG00000221953"	"NULL"	"chromosome 1 open reading frame 229"	"NM_207401"
"C1QTNF3-AMACR"	"ENSG00000273294"	"NULL"	"C1QTNF3-AMACR readthrough (NMD candidate)"	"NR_037951"
"C2orf27A"	"ENSG00000197927"	"NULL"	"chromosome 2 open reading frame 27A"	"NM_013310"
"C2orf27B"	"ENSG00000186825"	"NULL"	"chromosome 2 open reading frame 27B"	"NM_214461"
"C2orf48"	"ENSG00000163009"	"NULL"	"chromosome 2 open reading frame 48"	"NM_182626"
"C3CER1"	NA	"NULL"	"chromosome 3 common eliminated region 1"	"NULL"
"C3orf79"	"ENSG00000237787"	"NULL"	"chromosome 3 open reading frame 79"	"NM_001101337"
"C3orf86"	"ENSG00000225873"	"NULL"	"chromosome 3 open reading frame 86"	"NM_001351479"
"C5orf17"	"ENSG00000248874"	"NULL"	"chromosome 5 open reading frame 17 (putative)"	"NR_131245"
"C5orf64"	"ENSG00000178722"	"NULL"	"chromosome 5 open reading frame 64"	"NM_173667"
"C5orf66"	"ENSG00000224186"	"NULL"	"chromosome 5 open reading frame 66"	"NM_001277348"
"C6orf99"	"ENSG00000203711"	"NULL"	"chromosome 6 open reading frame 99"	"NM_001195032"
"C7orf55-LUC7L2"	"ENSG00000269955"	"NULL"	"C7orf55-LUC7L2 readthrough"	"NM_001244584"
"C7orf65"	"ENSG00000221845"	"NULL"	"chromosome 7 open reading frame 65"	"NM_001123065"
"C7orf66"	"ENSG00000205174"	"NULL"	"chromosome 7 open reading frame 66"	"NM_001024607"
"C7orf69"	"ENSG00000136275"	"NULL"	"chromosome 7 open reading frame 69"	"NM_025031"
"C7orf71"	"ENSG00000222004"	"NULL"	"chromosome 7 open reading frame 71"	"NM_001145531"
"C8orf17"	"ENSG00000250733"	"NULL"	"chromosome 8 open reading frame 17"	"NULL"
"C8orf31"	"ENSG00000177335"	"NULL"	"chromosome 8 open reading frame 31 (putative)"	"NM_173687"
"C8orf44-SGK3"	"ENSG00000270024"	"NULL"	"C8orf44-SGK3 readthrough"	"NM_001204173"
"C8orf49"	"ENSG00000255394"	"NULL"	"chromosome 8 open reading frame 49 (putative)"	"NM_001031839"
"C8orf87"	"ENSG00000279847"	"NULL"	"chromosome 8 open reading frame 87"	"NM_001242668"
"C9orf62"	"ENSG00000178243"	"NULL"	"chromosome 9 open reading frame 62"	"NM_173520"
"C9orf106"	"ENSG00000179082"	"NULL"	"chromosome 9 open reading frame 106 (putative)"	"NR_149714"
"C9orf118"	NA	"NULL"	"chromosome 9 open reading frame 118"	"NULL"
"C9orf139"	"ENSG00000180539"	"NULL"	"chromosome 9 open reading frame 139"	"NM_207511"
"C9orf147"	"ENSG00000230185"	"NULL"	"chromosome 9 open reading frame 147"	"XR_079257"
"C9orf163"	"ENSG00000196366"	"NULL"	"chromosome 9 open reading frame 163"	"NM_152571"
"C9orf170"	"ENSG00000204446"	"NULL"	"chromosome 9 open reading frame 170"	"NM_001001709"
"C10orf25"	"ENSG00000165511"	"NULL"	"chromosome 10 open reading frame 25"	"NM_145022"
"C10orf91"	"ENSG00000180066"	"NULL"	"chromosome 10 open reading frame 91 (putative)"	"NM_173541"
"C10orf111"	"ENSG00000176236"	"NULL"	"chromosome 10 open reading frame 111"	"NM_153244"
"C11orf44"	"ENSG00000175728"	"NULL"	"chromosome 11 open reading frame 44"	"NM_173580"
"C11orf72"	"ENSG00000184224"	"NULL"	"chromosome 11 open reading frame 72 (putative)"	"NM_173578"
"C12orf77"	"ENSG00000226397"	"NULL"	"chromosome 12 open reading frame 77"	"NM_001101339"
"C12orf80"	"ENSG00000257137"	"NULL"	"chromosome 12 open reading frame 80"	"NM_001242696"
"C14orf144"	NA	"NULL"	"chromosome 14 open reading frame 144 (putative)"	"NR_146611"
"C15orf32"	"ENSG00000183643"	"NULL"	"chromosome 15 open reading frame 32"	"NM_153040"
"C15orf38-AP3S2"	"ENSG00000250021"	"NULL"	"C15orf38-AP3S2 readthrough"	"NM_001199058.1"
"C15orf53"	"ENSG00000175779"	"NULL"	"chromosome 15 open reading frame 53"	"NM_207444"
"C15orf54"	"ENSG00000175746"	"NULL"	"chromosome 15 open reading frame 54 (putative)"	"NM_207445"
"C15orf56"	"ENSG00000176753"	"NULL"	"chromosome 15 open reading frame 56"	"NM_001039905"
"C16orf47"	"ENSG00000197445"	"NULL"	"chromosome 16 open reading frame 47"	"NM_207385"
"C16orf97"	"ENSG00000261190"	"NULL"	"chromosome 16 open reading frame 97"	"NM_001242473"
"C17orf77"	"ENSG00000182352"	"NULL"	"chromosome 17 open reading frame 77"	"NM_152460"
"C17orf82"	"ENSG00000187013"	"NULL"	"chromosome 17 open reading frame 82"	"NM_203425"
"C17orf102"	"ENSG00000197322"	"NULL"	"chromosome 17 open reading frame 102"	"NM_207454"
"C17orf112"	"ENSG00000227011"	"NULL"	"chromosome 17 open reading frame 112"	"NM_001243552"
"C18orf12"	"ENSG00000280197"	"NULL"	"chromosome 18 open reading frame 12"	"NM_001350280"
"C18orf15"	"ENSG00000279020"	"NULL"	"chromosome 18 open reading frame 15 (putative)"	"NR_146617"
"C18orf65"	"ENSG00000275763"	"NULL"	"chromosome 18 open reading frame 65"	"NM_001272093"
"C20orf78"	"ENSG00000149443"	"NULL"	"chromosome 20 open reading frame 78"	"NM_178462"
"C20orf181"	"ENSG00000279610"	"NULL"	"chromosome 20 open reading frame 181"	"XR_001754451"
"C20orf187"	"ENSG00000125899"	"NULL"	"chromosome 20 open reading frame 187 (putative)"	"NR_146878"
"C20orf197"	"ENSG00000176659"	"NULL"	"chromosome 20 open reading frame 197"	"NM_173644"
"C22orf24"	"ENSG00000128254"	"NULL"	"chromosome 22 open reading frame 24"	"NM_015372"
"C22orf34"	"ENSG00000188511"	"NULL"	"chromosome 22 open reading frame 34"	"NR_026997"
"CATR1"	NA	"NULL"	"CATR tumorigenicity conversion 1"	"NULL"
"CCDC92B"	"ENSG00000261963"	"NULL"	"coiled-coil domain containing 92B"	"NM_001355573"
"CCDC169-SOHLH2"	"ENSG00000250709"	"NULL"	"CCDC169-SOHLH2 readthrough"	"NM_001198910.1"
"CCDC200"	"ENSG00000236383"	"NULL"	"coiled-coil domain containing 200"	"NM_001363254"
"CCL15-CCL14"	"ENSG00000275688"	"NULL"	"CCL15-CCL14 readthrough (NMD candidate)"	"NR_027921"
"CCNYL3"	"ENSG00000216671"	"Cyclins"	"cyclin Y-like 3"	"XM_011535351"
"CD8B2"	"ENSG00000254126"	"NULL"	"CD8b2 molecule"	"NM_001349727"
"CDRT2"	NA	"NULL"	"CMT1A duplicated region transcript 2"	"NULL"
"CDRT3"	NA	"NULL"	"CMT1A duplicated region transcript 3"	"NR_146601"
"CDRT5"	NA	"NULL"	"CMT1A duplicated region transcript 5"	"NULL"
"CDRT10"	NA	"NULL"	"CMT1A duplicated region transcript 10"	"NULL"
"CDRT11"	NA	"NULL"	"CMT1A duplicated region transcript 11"	"NULL"
"CDRT12"	NA	"NULL"	"CMT1A duplicated region transcript 12"	"NULL"
"CDRT13"	NA	"NULL"	"CMT1A duplicated region transcript 13"	"NULL"
"CECR"	NA	"NULL"	"cat eye syndrome chromosome region"	"NULL"
"CENPS-CORT"	"ENSG00000251503"	"NULL"	"CENPS-CORT readthrough"	"NM_198544.3"
"CENPVL2"	"ENSG00000283093"	"NULL"	"centromere protein V like 2"	"NM_001355278"
"CHKB-CPT1B"	"ENSG00000254413"	"NULL"	"CHKB-CPT1B readthrough (NMD candidate)"	"NR_027928.2"
"CHURC1-FNTB"	"ENSG00000125954"	"NULL"	"CHURC1-FNTB readthrough"	"NM_001202558"
"CKLF-CMTM1"	"ENSG00000254788"	"NULL"	"CKLF-CMTM1 readthrough"	"NM_001202509"
"CLLU1"	"ENSG00000257127"	"NULL"	"chronic lymphocytic leukemia up-regulated 1"	"NR_027932"
"COL1AR"	NA	"NULL"	"collagen type I alpha receptor"	"NULL"
"COL4A2-AS2"	"ENSG00000224821"	"NULL"	"COL4A2 antisense 2"	"NM_001267044"
"COLCA1"	"ENSG00000196167"	"NULL"	"colorectal cancer associated 1"	"NM_001302644"
"COMMD3-BMI1"	"ENSG00000269897"	"NULL"	"COMMD3-BMI1 readthrough"	"NM_001204062"
"CORO7-PAM16"	"ENSG00000103426"	"NULL"	"CORO7-PAM16 readthrough"	"NM_001201479"
"CPHXL"	NA	"NULL"	"cytoplasmic polyadenylated homeobox like"	"NM_001355613"
"CRIPAK"	"ENSG00000179979"	"NULL"	"cysteine rich PAK1 inhibitor"	"NM_175918"
"CRNDE"	"ENSG00000245694"	"Long non-coding RNAs (published)"	"colorectal neoplasia differentially expressed"	"NM_001308963"
"CRSP5"	NA	"NULL"	"cofactor required for Sp1 transcriptional activation subunit 5"	"NULL"
"CRYZL2P-SEC16B"	"ENSG00000254154"	"NULL"	"CRYZL2P-SEC16B readthrough"	"NM_001356505"
"CSAG2"	"ENSG00000268902"	"NULL"	"CSAG family member 2"	"NM_001080848"
"CSAG3"	"ENSG00000268916"	"NULL"	"CSAG family member 3"	"NM_203311"
"CYP3A7-CYP3A51P"	"ENSG00000282301"	"NULL"	"CYP3A7-CYP3A51P readthrough"	"NM_001256497"
"DCR"	NA	"NULL"	"Down syndrome chromosome region"	"NULL"
"DEFA1A3"	NA	"Defensins, alpha"	"defensin alpha 1 and alpha 3, variable copy number locus"	"NULL"
"DEFB108A"	"ENSG00000229907"	"Defensins, beta"	"defensin beta 108A"	"NG_005426"
"DEFB108C"	"ENSG00000215371"	"Defensins, beta"	"defensin beta 108C"	"NG_007389.1"
"DEFB109B"	"ENSG00000206034"	"Defensins, beta"	"defensin beta 109B"	"NM_001037380"
"DEFB109C"	"ENSG00000205989"	"Defensins, beta"	"defensin beta 109C"	"NG_055545"
"DGCR"	NA	"NULL"	"DiGeorge syndrome chromosome region"	"NULL"
"DHRS4L1"	"ENSG00000225766"	"Short chain dehydrogenase/reductase superfamily"	"dehydrogenase/reductase 4 like 1"	"NM_001082488"
"DLEU2L"	"ENSG00000116652"	"NULL"	"deleted in lymphocytic leukemia 2-like"	"NR_002771"
"DNAAF4-CCPG1"	"ENSG00000261771"	"NULL"	"DNAAF4-CCPG1 readthrough (NMD candidate)"	"NR_037923"
"DNAJB3"	"ENSG00000227802"	"DNAJ (HSP40) heat shock proteins"	"DnaJ heat shock protein family (Hsp40) member B3"	"NM_001001394"
"DNAJC25-GNG10"	"ENSG00000244115"	"NULL"	"DNAJC25-GNG10 readthrough"	"NM_004125.2"
"DPH3P1"	"ENSG00000233838"	"NULL"	"diphthamide biosynthesis 3 pseudogene 1"	"NM_080750"
"DTX2P1-UPK3BP1-PMS2P11"	"ENSG00000265479"	"NULL"	"DTX2P1-UPK3BP1-PMS2P11 readthrough, transcribed pseudogene"	"NR_023383"
"DUX1"	NA	"NULL"	"double homeobox 1"	"NM_012146"
"DUX3"	NA	"NULL"	"double homeobox 3"	"NM_012148"
"DUX5"	NA	"NULL"	"double homeobox 5"	"NM_012149"
"DUXB"	"ENSG00000282757"	"PRD class homeoboxes and pseudogenes"	"double homeobox B"	"NM_001351307"
"DYRK1AIP1"	NA	"NULL"	"DYRK1A interacting protein 1"	"NULL"
"DYRK1AIP2"	NA	"NULL"	"DYRK1A interacting protein 2"	"NULL"
"EBVM1"	NA	"NULL"	"Epstein Barr virus modification site 1"	"NULL"
"EBVS1"	NA	"NULL"	"Epstein Barr virus integration site 1"	"NULL"
"EEF1AKMT4-ECE2"	"ENSG00000284917"	"NULL"	"EEF1AKMT4-ECE2 readthrough"	"NM_014693"
"EEF1E1-BLOC1S5"	"ENSG00000265818"	"NULL"	"EEF1E1-BLOC1S5 readthrough (NMD candidate)"	"NR_037618"
"EPPIN-WFDC6"	"ENSG00000249139"	"NULL"	"EPPIN-WFDC6 readthrough"	"NM_001198986.1"
"ERDA1"	NA	"NULL"	"expanded repeat domain, CAG/CTG 1"	"NULL"
"ERV3-2"	NA	"NULL"	"endogenous retrovirus group 3 member 2"	"NULL"
"ERV9-1"	NA	"NULL"	"endogenous retrovirus group 9 member 1"	"NULL"
"ERV18-1"	NA	"NULL"	"endogenous retrovirus group 18 member 1"	"NULL"
"ERVE-1"	"ENSG00000267259"	"NULL"	"endogenous retrovirus group E member 1"	"NULL"
"ERVE-2"	NA	"NULL"	"endogenous retrovirus group E member 2"	"NULL"
"ERVE-3"	NA	"NULL"	"endogenous retrovirus group E member 3"	"NULL"
"ERVE-4"	NA	"NULL"	"endogenous retrovirus group E member 4"	"NULL"
"ERVFC1-1"	NA	"Envelope ERV derived genes"	"endogenous retrovirus group FC1 member 1, envelope"	"NULL"
"ERVFH21-1"	NA	"NULL"	"endogenous retrovirus group FH21 member 1"	"NULL"
"ERVFRD-2"	NA	"NULL"	"endogenous retrovirus group FRD member 2"	"NULL"
"ERVFRD-3"	"ENSG00000264801"	"NULL"	"endogenous retrovirus group FRD member 3"	"NULL"
"ERVH-1"	"ENSG00000251292"	"NULL"	"endogenous retrovirus group H member 1"	"NULL"
"ERVH-2"	NA	"NULL"	"endogenous retrovirus group H member 2"	"NULL"
"ERVH-3"	NA	"NULL"	"endogenous retrovirus group H member 3"	"NULL"
"ERVH-4"	NA	"NULL"	"endogenous retrovirus group H member 4"	"NULL"
"ERVH-5"	NA	"NULL"	"endogenous retrovirus group H member 5"	"NULL"
"ERVH-6"	NA	"NULL"	"endogenous retrovirus group H member 6"	"NULL"
"ERVH-7"	NA	"NULL"	"endogenous retrovirus group H member 7"	"NULL"
"ERVH-8"	NA	"Envelope ERV derived genes"	"endogenous retrovirus group H member 8, envelope"	"NULL"
"ERVH-9"	NA	"Envelope ERV derived genes"	"endogenous retrovirus group H member 9, envelope"	"NULL"
"ERVH-10"	NA	"Envelope ERV derived genes"	"endogenous retrovirus group H member 10, envelope"	"NULL"
"ERVH48-1"	"ENSG00000233056"	"NULL"	"endogenous retrovirus group 48 member 1"	"NM_001308491"
"ERVI-1"	NA	"NULL"	"endogenous retrovirus group I member 1"	"NULL"
"ERVK-1"	NA	"NULL"	"endogenous retrovirus group K member 1"	"NULL"
"ERVK-2"	NA	"NULL"	"endogenous retrovirus group K member 2"	"NULL"
"ERVK-3"	NA	"NULL"	"endogenous retrovirus group K member 3"	"NULL"
"ERVK-4"	NA	"NULL"	"endogenous retrovirus group K member 4"	"NULL"
"ERVK-5"	NA	"NULL"	"endogenous retrovirus group K member 5"	"NULL"
"ERVK-6"	NA	"NULL"	"endogenous retrovirus group K member 6, envelope"	"NM_001007236"
"ERVK-7"	NA	"NULL"	"endogenous retrovirus group K member 7"	"NULL"
"ERVK-8"	NA	"Envelope ERV derived genes"	"endogenous retrovirus group K member 8, envelope"	"NULL"
"ERVK-9"	NA	"NULL"	"endogenous retrovirus group K member 9"	"NULL"
"ERVK-10"	NA	"NULL"	"endogenous retrovirus group K member 10"	"NULL"
"ERVK-11"	NA	"NULL"	"endogenous retrovirus group K member 11"	"NULL"
"ERVK-12"	NA	"NULL"	"endogenous retrovirus group K member 12"	"NULL"
"ERVK-13"	NA	"NULL"	"endogenous retrovirus group K member 13"	"NULL"
"ERVK-14"	NA	"NULL"	"endogenous retrovirus group K member 14"	"NULL"
"ERVK-15"	NA	"NULL"	"endogenous retrovirus group K member 15"	"NULL"
"ERVK-16"	NA	"NULL"	"endogenous retrovirus group K member 16"	"NULL"
"ERVK-17"	NA	"NULL"	"endogenous retrovirus group K member 17"	"NULL"
"ERVK-18"	NA	"NULL"	"endogenous retrovirus group K member 18"	"NULL"
"ERVK-19"	NA	"Envelope ERV derived genes"	"endogenous retrovirus group K member 19, envelope"	"NULL"
"ERVK-20"	NA	"NULL"	"endogenous retrovirus group K member 20"	"NULL"
"ERVK-21"	NA	"Envelope ERV derived genes"	"endogenous retrovirus group K member 21, envelope"	"NULL"
"ERVK-22"	NA	"NULL"	"endogenous retrovirus group K member 22"	"NULL"
"ERVK-23"	NA	"NULL"	"endogenous retrovirus group K member 23"	"NULL"
"ERVK-24"	NA	"NULL"	"endogenous retrovirus group K member 24"	"NULL"
"ERVK-25"	NA	"NULL"	"endogenous retrovirus group K member 25"	"NULL"
"ERVK-26"	NA	"NULL"	"endogenous retrovirus group K member 26"	"NULL"
"ERVK-27"	NA	"NULL"	"endogenous retrovirus group K member 27"	"NULL"
"ERVK-28"	"ENSG00000267696"	"NULL"	"endogenous retrovirus group K member 28"	"NULL"
"ERVK-29"	NA	"NULL"	"endogenous retrovirus group K member 29"	"NULL"
"ERVK-30"	NA	"NULL"	"endogenous retrovirus group K member 30"	"NULL"
"ERVK-31"	NA	"NULL"	"endogenous retrovirus group K member 31"	"NULL"
"ERVK-32"	NA	"Envelope ERV derived genes"	"endogenous retrovirus group K member 32, envelope"	"NULL"
"ERVK3-1"	"ENSG00000142396"	"NULL"	"endogenous retrovirus group K3 member 1"	"NR_144445"
"ERVK3-2"	NA	"NULL"	"endogenous retrovirus group K3 member 2"	"NULL"
"ERVK3-3"	NA	"NULL"	"endogenous retrovirus group K3 member 3"	"NULL"
"ERVK3-4"	NA	"NULL"	"endogenous retrovirus group K3 member 4"	"NULL"
"ERVK3-5"	NA	"NULL"	"endogenous retrovirus group K3 member 5"	"NULL"
"ERVK3-6"	NA	"NULL"	"endogenous retrovirus group K3 member 6"	"NULL"
"ERVK3-7"	NA	"NULL"	"endogenous retrovirus group K3 member 7"	"NULL"
"ERVK3-8"	NA	"NULL"	"endogenous retrovirus group K3 member 8"	"NULL"
"ERVK9-1"	NA	"NULL"	"endogenous retrovirus group K9, member 1"	"NULL"
"ERVK9-2"	NA	"NULL"	"endogenous retrovirus group K9, member 2"	"NULL"
