GeneID	GeneName	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR	Normals	CCSK	myLogFC	AvglogFPKM	gene_family	name	refseq_accession	ProteinCoding	CellSurface	ExhaustionMarkers	TranscriptionFactor	CancerGermlineAntigen	PAX3FOXO1	EWSR1FL1	Brain.MeanExp	Heart.MeanExp	Kidney.MeanExp	Liver.MeanExp	Lung.MeanExp
ENSG00000004848	ARX	X	25021811	25034065	-	2876	-4.25572868572713	-0.871870438520612	0.00408421214714004	0.0126086994399669	0.187768594116651	0.00827496105571392	-0.23636466999811	0.164923949908896	X-linked mental retardation;PRD class homeoboxes and pseudogenes	aristaless related homeobox	NM_139058	Y	N	N	Y	Y	N	N	1.56176118269153	0	0	0	0.0555253822743463
ENSG00000005073	HOXA11	7	27221129	27224842	-	2307	3.18157278840918	3.29263617399542	4.02528723378897e-05	0.000195712967387423	2.07229447089642	18.8279805567597	2.69014934310674	4.20483633636994	HOXL subclass homeoboxes	homeobox A11	NM_005523	Y	N	N	Y	N	N	N	0.00271595610670522	0	1.83834161777034	0	0.00754328450535501
ENSG00000005102	MEOX1	17	41717756	41739322	-	2707	-1.52809222313428	1.69913262392373	0.0381954777152129	0.0917985167030324	1.27850435190244	0.44188134685065	-0.660134676730843	1.17202506035039	HOXL subclass homeoboxes	mesenchyme homeobox 1	NM_001040002	Y	N	N	Y	N	Y	N	0.00501391994849246	8.17657407815698	0.0396610817854194	0.0429381500447702	0.802552397066254
ENSG00000005513	SOX8	16	1031808	1036979	+	4432	2.70178943863266	2.41067609388255	8.38614599597037e-10	9.54531674761746e-09	0.693287841441796	4.51370537434985	1.70319494145337	1.17952280017555	SRY-boxes	SRY-box 8	NM_014587	Y	N	N	Y	N	Y	N	7.36392199963007	0.966828396812308	0.0984136008620878	0.0698780042728431	0.45421994411107
ENSG00000005801	ZNF195	11	3360491	3400448	-	5705	1.67181319874524	4.1106422599968	5.89636376846275e-35	5.25332102968806e-33	2.35672820199552	7.51347252600715	1.3426919818752	3.01304111596063	Zinc fingers C2H2-type	zinc finger protein 195	NM_001130519	Y	N	N	Y	N	N	N	4.81506333447296	2.82166195957923	2.55316486456559	3.84173323188686	2.21322450883282
ENSG00000005889	ZFX	X	24167290	24234372	+	9037	0.225060599215261	6.02110658019857	0.123674635318025	0.254433988771384	7.02649824628982	8.21307743842394	0.198912424884548	7.1775174161978	Zinc fingers C2H2-type	zinc finger protein X-linked	NM_003410	Y	N	N	Y	N	N	N	3.46234094748112	4.89467594771768	2.85015640995789	8.79467055632463	5.57481848546383
ENSG00000006047	YBX2	17	7191571	7197934	-	4618	-4.54997103686192	1.13156422681443	1.02280979975953e-09	1.15103250528629e-08	0.522325623892099	0.0212375650891468	-0.575958471073916	0.45855078004445	Y box binding proteins	Y-box binding protein 2	NM_015982	Y	N	N	Y	N	N	N	0.399502441135155	0.530357620835872	0.933585783747476	0.708723424154361	0.0483549347759277
ENSG00000006194	ZNF263	16	3313743	3351401	+	9329	0.566033995571025	4.48998427485173	2.48086850276589e-08	2.22990296542726e-07	2.26113086294824	3.35157296838279	0.416164653128178	2.39991440363991	Zinc fingers C2H2-type;SCAN domain containing	zinc finger protein 263	NM_005741	Y	N	N	Y	N	N	N	3.71610148325362	2.72328425174671	3.04466106844344	2.73091463734378	3.53716356730312
ENSG00000006377	DLX6	7	96634860	96640351	+	3449	0.425748373162766	-1.83154441338448	0.517365283820245	0.822572307491848	0.054682578469334	0.0745859367858507	0.0269719976569474	0.0572157331641634	NKL subclass homeoboxes and pseudogenes	distal-less homeobox 6	NM_005222	Y	N	N	Y	N	N	N	0.42390563150784	0.0096589348710434	0.00680811666400606	0	0
ENSG00000006468	ETV1	7	13930853	14031050	-	9686	0.236798824089589	5.51547494898182	0.580547096364115	0.899029421770416	4.60978216299279	5.43203267707701	0.197329986237496	4.71443222842169	ETS transcription factor family	ETS variant 1	NM_004956	Y	N	N	Y	N	N	Y	32.1265827665406	5.46900717316762	0.410276372164117	2.83772014126118	6.58272113936128
