GeneID	GeneName	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR	Normals	CCSK	myLogFC	AvglogFPKM	gene_family	name	refseq_accession	ProteinCoding	CellSurface	ExhaustionMarkers	TranscriptionFactor	CancerGermlineAntigen	PAX3FOXO1	EWSR1FL1	Brain.MeanExp	Heart.MeanExp	Kidney.MeanExp	Liver.MeanExp	Lung.MeanExp
ENSG00000089692	LAG3	12	6881678	6887621	+	3056	-0.547724303208502	-0.406067884086419	0.271206990711186	0.487904893004805	0.229704439977035	0.157329532285266	-0.0875118960304152	0.220493088088991	CD molecules;Immunoglobulin like domain containing	lymphocyte activating 3	NM_002286	Y	Y	Y	N	N	N	N	0.265010151332087	0.119911757222682	0.168507497353231	2.78928408706591	1.53682641697664
ENSG00000105329	TGFB1	19	41807492	41859816	-	3238	-0.86039792480476	2.55361715094523	0.00968159361256323	0.0273043851412565	1.89651214193454	1.04515726145721	-0.502104929852946	1.78815788441924	Endogenous ligands;Transforming growth factor beta family	transforming growth factor beta 1	NM_000660	Y	Y	Y	N	N	N	N	1.25556883396024	2.73690017403652	4.27569861836945	1.5808893809132	25.774083269672
ENSG00000117281	CD160	1	145695798	145715614	-	3991	-1.96792359876455	1.32845139829879	1.89644604677583e-07	1.4611201183427e-06	0.673388350954085	0.171650262016593	-0.514230308043128	0.609530775998405	CD molecules;Immunoglobulin like domain containing	CD160 molecule	NM_007053	Y	Y	Y	N	N	N	N	0.475363631228356	0.114267752399838	0.0520046693181465	2.69716668838913	0.751048164523247
ENSG00000120217	CD274	9	5450503	5470566	+	4108	-3.37616493033791	2.26551827837708	1.24034711300943e-09	1.37886943459986e-08	1.30226283288659	0.124378107934652	-1.03392527576153	1.15235023152907	CD molecules;Endogenous ligands;V-set domain containing;C2-set domain containing	CD274 molecule	NM_014143	Y	Y	Y	N	N	N	N	0.610937298596283	8.72909534880393	1.08821846771253	0.528880973839319	24.9993596891867
ENSG00000122223	CD244	1	160799950	160832692	-	2904	-2.89855710558649	0.13201370639617	7.92724969207412e-05	0.00036068404068857	0.392721380549404	0.0513462919317989	-0.405668728154869	0.349273641998072	CD molecules;Immunoglobulin like domain containing;Ig-like cell adhesion molecule family	CD244 molecule	NM_016382	Y	Y	Y	N	N	N	N	0.257365218809409	0.205277779565074	0.0571851013527971	2.19971576887743	1.22765998845078
ENSG00000125498	KIR2DL1	19	55281263	55295774	+	1674	-2.84030398072971	-3.23071642450007	0.135089606138744	0.273996385307156	0.0175945695993037	0	-0.0251628768030478	0.0153552607412105	CD molecules;Killer cell immunoglobulin like receptors	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1	NM_014218	Y	Y	Y	N	N	N	N	0	0.0375055289179207	0.00701349891701222	0.00445118204293995	0.218445596016603
ENSG00000128052	KDR	4	55944644	55991756	-	6259	0.0156067711553055	5.5125600894954	0.917049738931858	1	7.2708072894832	7.34992766830889	0.0137355466754396	7.2808771558792	Receptor tyrosine kinases;CD molecules;V-set domain containing;I-set domain containing;Immunoglobulin like domain containing	kinase insert domain receptor	NM_002253	Y	Y	Y	N	N	N	N	1.66764331274174	6.03561658793667	18.0614312723358	4.53980007047995	41.9945831811244
ENSG00000131203	IDO1	8	39759794	39785963	+	3261	-3.73677653639668	1.06107473293128	0.000239048971384819	0.000980329285370994	0.696801212050953	0.0509705839442067	-0.691095266850991	0.614604586655549	NULL	indoleamine 2,3-dioxygenase 1	NM_002164	Y	N	Y	N	N	N	Y	0	0.579254073979967	0.662509784083425	0.0629860021485113	7.9751223863951
ENSG00000135077	HAVCR2	5	156512843	156569880	-	3804	-1.17734713291472	2.14787811907286	0.01457378823413	0.0392138118092498	1.23093325705572	0.54416660730928	-0.530818932971848	1.14352659254254	V-set domain containing	hepatitis A virus cellular receptor 2	NM_032782	Y	Y	Y	N	N	N	N	1.0102059475505	0.553830412858265	9.19394904093873	1.03029157553394	10.4689818833392
ENSG00000139193	CD27	12	6554033	6560884	+	1410	-2.65474181702242	0.176222314737473	0.000980111317060613	0.00350273923403957	0.831589353865143	0.129718711526563	-0.697132483510214	0.742260363022051	CD molecules;Tumor necrosis factor receptor superfamily	CD27 molecule	NM_001242	Y	Y	Y	N	N	N	N	0.146045234951206	0.225417962381615	0.238920725349759	0.624510463144059	1.73498553509544
