GeneID	GeneName	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR	Normals	WT	myLogFC	AvglogFPKM	gene_family	name	refseq_accession	ProteinCoding	CellSurface	ExhaustionMarkers	TranscriptionFactor	CancerGermlineAntigen	PAX3FOXO1	EWSR1FL1	Brain.MeanExp	Heart.MeanExp	Kidney.MeanExp	Liver.MeanExp	Lung.MeanExp
ENSG00000004848	ARX	X	25021811	25034065	-	2876	-2.92507924284143	-0.842903110891997	0.00317910707251776	0.0100032913261232	0.202915821219761	0.0248348886667145	-0.231144192174433	0.163824884805678	X-linked mental retardation;PRD class homeoboxes and pseudogenes	aristaless related homeobox	NM_139058	Y	N	N	Y	Y	N	N	1.56176118269153	0	0	0	0.0555253822743463
ENSG00000005073	HOXA11	7	27221129	27224842	-	2307	3.11095957223213	3.78659247262805	3.83621931224907e-07	2.61817743149862e-06	2.21450853465526	19.1624566496924	2.64900134524721	5.93478982820001	HOXL subclass homeoboxes	homeobox A11	NM_005523	Y	N	N	Y	N	N	N	0.00271595610670522	0	1.83834161777034	0	0.00754328450535501
ENSG00000005102	MEOX1	17	41717756	41739322	-	2707	4.81193655546002	4.69657184852249	2.22670100530392e-39	2.035898281456e-37	1.37198886558158	38.5769287802088	4.06049051894918	9.5389268956217	HOXL subclass homeoboxes	mesenchyme homeobox 1	NM_001040002	Y	N	N	Y	N	Y	N	0.00501391994849246	8.17657407815698	0.0396610817854194	0.0429381500447702	0.802552397066254
ENSG00000005513	SOX8	16	1031808	1036979	+	4432	0.915566751974495	2.01242291847281	0.0206435863897247	0.052982133528789	0.744256571426502	1.40412272281111	0.462898273961404	0.889105238803612	SRY-boxes	SRY-box 8	NM_014587	Y	N	N	Y	N	Y	N	7.36392199963007	0.966828396812308	0.0984136008620878	0.0698780042728431	0.45421994411107
ENSG00000005801	ZNF195	11	3360491	3400448	-	5705	0.986765607927025	4.145577824636	1.57275073317752e-19	4.9141191395804e-18	2.53793829638996	5.03155667131613	0.769621505356479	3.08531793966644	Zinc fingers C2H2-type	zinc finger protein 195	NM_001130519	Y	N	N	Y	N	N	N	4.81506333447296	2.82166195957923	2.55316486456559	3.84173323188686	2.21322450883282
ENSG00000005889	ZFX	X	24167290	24234372	+	9037	0.128605026073675	6.12129596010349	0.247350383912878	0.44529121258625	7.53845732804825	8.24145131071124	0.114143998645905	7.69277308034012	Zinc fingers C2H2-type	zinc finger protein X-linked	NM_003410	Y	N	N	Y	N	N	N	3.46234094748112	4.89467594771768	2.85015640995789	8.79467055632463	5.57481848546383
ENSG00000006047	YBX2	17	7191571	7197934	-	4618	0.395245954754087	1.52022407212411	0.242370062456777	0.437593651659119	0.562215963690794	0.739081617279463	0.154731733560414	0.601040131551722	Y box binding proteins	Y-box binding protein 2	NM_015982	Y	N	N	Y	N	N	N	0.399502441135155	0.530357620835872	0.933585783747476	0.708723424154361	0.0483549347759277
ENSG00000006194	ZNF263	16	3313743	3351401	+	9329	0.343263188127186	4.59271251868514	2.30316877884952e-05	0.000113345656315869	2.4321950321016	3.08838603828692	0.252399891205493	2.57623696028862	Zinc fingers C2H2-type;SCAN domain containing	zinc finger protein 263	NM_005741	Y	N	N	Y	N	N	N	3.71610148325362	2.72328425174671	3.04466106844344	2.73091463734378	3.53716356730312
ENSG00000006377	DLX6	7	96634860	96640351	+	3449	-0.633513827367207	-1.81974269439587	0.447525140233083	0.708562415438022	0.0588083834098364	0.0373690507858538	-0.0295122893192223	0.0541021884435964	NKL subclass homeoboxes and pseudogenes	distal-less homeobox 6	NM_005222	Y	N	N	Y	N	N	N	0.42390563150784	0.0096589348710434	0.00680811666400606	0	0
ENSG00000006468	ETV1	7	13930853	14031050	-	9686	0.218570395376251	5.64009074230267	0.528051538242725	0.805927768448445	4.96090770441884	5.77235454336667	0.184125467010171	5.13903018126105	ETS transcription factor family	ETS variant 1	NM_004956	Y	N	N	Y	N	N	Y	32.1265827665406	5.46900717316762	0.410276372164117	2.83772014126118	6.58272113936128
