GeneID	GeneName	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR	Normals	CCSK	myLogFC	AvglogFPKM	gene_family	name	refseq_accession	ProteinCoding	CellSurface	ExhaustionMarkers	TranscriptionFactor	CancerGermlineAntigen	PAX3FOXO1	EWSR1FL1	Brain.MeanExp	Heart.MeanExp	Kidney.MeanExp	Liver.MeanExp	Lung.MeanExp
ENSG00000000003	TSPAN6	X	99883667	99894988	-	2968	0.161605039138916	3.98121672290481	0.585513916444334	0.904694915277312	5.21538612381895	5.83404042638353	0.136894762117953	5.29412394414535	Tetraspanins	tetraspanin 6	NM_001278740	Y	Y	N	N	N	N	N	2.47571684950951	5.39790455587598	32.6680930363439	52.8607592494139	9.47064333620454
ENSG00000000005	TNMD	X	99839799	99854882	+	1610	-0.20932664714134	-1.63247718083214	0.817630948866617	1	0.152514383939535	0.132610116208751	-0.0251334354916312	0.149981113501071	BRICHOS domain containing	tenomodulin	NM_022144	Y	Y	N	N	N	N	N	0.0541390802803153	0.392740467071373	0.152105758952762	0	0.00799304081682377
ENSG00000001461	NIPAL3	1	24742284	24799466	+	9404	-2.13268686346696	5.41653608127811	8.90150815561124e-06	4.97857816248401e-05	5.02744666268585	1.14605973171018	-1.4898567478977	4.53345196237985	NULL	NIPA like domain containing 3	NM_020448	Y	Y	N	N	N	N	N	19.9523538239385	3.91469860100074	4.82266144065072	0.52590060893546	3.14243897213055
ENSG00000001561	ENPP4	6	46097730	46114436	+	4651	-0.792989921032383	4.76709757835104	0.000541155756244947	0.00205402749374231	6.17034022801687	3.56014531509742	-0.652961776980619	5.83813360273622	NULL	ectonucleotide pyrophosphatase/phosphodiesterase 4	NM_014936	Y	Y	N	N	N	N	N	11.9379657278456	13.0030287540518	14.2426623412539	7.27946803761146	12.7526011325985
ENSG00000001626	CFTR	7	117105838	117356025	+	8099	-8.24584629923806	5.09640472877459	3.18477351809248e-07	2.36454171225468e-06	4.82957881941025	0.0152953667862167	-2.52149216094498	4.21685183453083	Chloride channels, ATP-gated CFTR;ATP binding cassette subfamily C	cystic fibrosis transmembrane conductance regulator	NM_000492	Y	Y	N	N	N	N	N	0.0738135556260495	0.104533421958506	0.920189883314625	0.6565455773386	1.89556597545808
ENSG00000001630	CYP51A1	7	91741465	91772266	-	4074	-1.59701160168129	5.76235215765831	1.38713452718345e-05	7.44535213017056e-05	14.544110671151	4.80670280282407	-1.42057697639577	13.3048042151821	Cytochrome P450 family 51	cytochrome P450 family 51 subfamily A member 1	NM_000786	Y	Y	N	N	N	N	N	26.8826935457369	9.3584245942616	20.9362204339758	87.7231679128013	19.0174196409273
ENSG00000002586	CD99	X	2609220	2659350	+	3284	2.00320887371477	5.70333765347093	6.18350978834718e-17	1.62216788064669e-15	11.4527549631821	45.9198777528579	1.91373430482362	15.8394796818682	Blood group antigens;CD molecules;Pseudoautosomal region 1	CD99 molecule (Xg blood group)	NM_001122898	Y	Y	N	N	Y	N	Y	4.3437040123055	25.0153739428883	8.84515390310944	23.235036263542	28.6676014308198
ENSG00000002933	TMEM176A	7	150497491	150502208	+	3479	-3.77077097236085	4.43464183884927	7.89940483665393e-06	4.46602641616523e-05	7.02304875637788	0.513152254194054	-2.40659340498828	6.19451647428176	Membrane spanning 4-domains	transmembrane protein 176A	NM_018487	Y	Y	N	N	N	N	N	0.658268157588709	6.72756262329606	66.4849950850106	140.569061127634	9.12034400858424
ENSG00000003056	M6PR	12	9092959	9102551	-	3777	0.148730293195612	5.50514079570913	0.216093401271251	0.407168150983158	11.8394515086511	13.1266519942287	0.137836015585578	12.0032770249973	MRH domain containing 	mannose-6-phosphate receptor, cation dependent	NM_001207024	Y	Y	N	N	N	Y	N	19.8233891110706	31.4464136748604	31.8999108753309	26.5440906659185	33.4328994942709
ENSG00000003436	TFPI	2	188328957	188430487	-	11714	0.402980127920596	6.0905674397294	0.312283605073478	0.548014395121864	5.5817063232152	7.38052543615827	0.348579045200911	5.81064693758977	NULL	tissue factor pathway inhibitor	NM_006287	Y	Y	N	N	N	N	Y	0.174379640312248	3.26479487924386	3.93038777904591	23.086150886723	25.3885462235317
ENSG00000003989	SLC7A2	8	17354597	17428082	+	7905	-3.4835594284091	6.82437716576316	3.32483292591037e-06	2.03261982655705e-05	16.2057230462996	1.44812948124098	-2.81313675146882	14.3274838652921	Solute carriers	solute carrier family 7 member 2	NM_003046	Y	Y	N	N	N	N	N	1.56774954604296	6.84014787708819	3.2208625395084	76.508054118148	8.80614605270302
ENSG00000004399	PLXND1	3	129274018	129325661	-	9738	2.48703346992896	5.69146556005609	1.31452225378798e-30	8.96269555752045e-29	3.33924110679166	18.7253638288897	2.18453725479557	5.29747490778595	Plexins	plexin D1	NM_015103	Y	Y	N	N	N	N	N	3.43985072488167	8.42032128668057	4.08777428035577	1.69734606682371	27.0052089662972
ENSG00000004468	CD38	4	15779898	15854853	+	6855	-3.12085978773579	3.25972661521309	1.18557002493101e-05	6.45415295270641e-05	1.5613312378923	0.178899498822717	-1.11945310419128	1.38538538019253	CD molecules	CD38 molecule	NM_001775	Y	Y	N	N	N	N	N	0.939562370508217	1.98605817811229	0.208010679640132	0.97461625988998	1.3932280659925
ENSG00000004809	SLC22A16	6	110745890	110797844	-	3791	-2.55521067542532	-2.15907210687793	0.00631870508619905	0.0186442248848048	0.0415076039787734	0.00613663445134064	-0.0498471344326336	0.0370058442207365	Solute carriers	solute carrier family 22 member 16	NM_033125	Y	Y	N	N	N	N	N	0.0140105174305816	0.00464721775734077	0.0163709914691422	0.00714054110685578	0.0275426389140396
ENSG00000004846	ABCB5	7	20654830	20816658	+	9257	-4.26183763614575	-1.22379177624062	0.000158752753564286	0.000676248172652635	0.0429796591044598	0.00173473955946364	-0.0582104898160691	0.0377303057078239	ATP binding cassette subfamily B	ATP binding cassette subfamily B member 5	NM_178559	Y	Y	N	N	N	N	N	0.000676861914029268	0.0057094963329628	0	0	0.00563973987917922
ENSG00000004866	ST7	7	116593292	116870157	+	6742	-0.256689608108119	3.64174615784987	0.156066210394997	0.309584604935274	1.87912684687041	1.57111922238552	-0.163234842447685	1.83992587648142	NULL	suppression of tumorigenicity 7	NM_021908	Y	Y	N	N	N	N	N	2.92420371992162	4.66698398082928	5.08583459620217	5.6469700078398	4.42398849184409
ENSG00000004939	SLC4A1	17	42325753	42345509	-	5287	-5.4556615272658	2.25002265586106	0.000149237553056582	0.000639329137923402	1.01261269572118	0.0221357385355823	-0.977482771460033	0.886551992079374	Blood group antigens;CD molecules;Solute carriers	solute carrier family 4 member 1 (Diego blood group)	NM_000342	Y	Y	N	N	N	N	N	0.131919456907867	0.0172672548261335	84.5311276874002	0.0454313574645287	0.512108451933658
ENSG00000004948	CALCR	7	93053799	93204042	-	4036	2.93493025987403	-0.825866755103025	1.05058268974825e-06	7.06038659541258e-06	0.0637946950520742	0.491609355976744	0.487650003784689	0.118243833715214	Calcitonin receptors	calcitonin receptor	NM_001742	Y	Y	N	N	N	N	N	0.0753990270309401	0.0121431442572791	1.40100835055843	0.0153850320859793	0.0419945520068812
ENSG00000005059	CCDC109B	4	110481361	110609874	+	3558	1.44331879487555	2.16479839759207	1.07258294965941e-06	7.19956298608187e-06	1.01289187065864	2.76270890392199	0.902502006818048	1.23559585671034	NA	NA	NA	N	Y	N	N	N	N	N	0.6577649205417	1.21809224182466	0.839204604996832	1.14807601804475	3.0247428147695
ENSG00000005108	THSD7A	7	11409984	11871824	-	10923	2.90670691540504	5.3736054053222	4.76873126442305e-27	2.56972414309823e-25	2.07216310978881	15.5457315155761	2.42913235717161	3.78698090688901	NULL	thrombospondin type 1 domain containing 7A	XM_928187.2	Y	Y	N	N	N	N	N	1.68208004640415	0.438417494607688	6.9405539244576	0.481319672599385	1.53494766888548
ENSG00000005206	SPPL2B	19	2328614	2355099	+	7096	-0.615461262053828	3.65842165107534	0.000938402571733957	0.00336857351054373	1.85041120866144	1.20699322433148	-0.369087861279117	1.76852164701944	NULL	signal peptide peptidase like 2B	NM_020172	Y	Y	N	N	N	N	N	7.62611943951453	4.64701984514711	6.70497124593671	3.80657052698817	2.94843550485344
ENSG00000005471	ABCB4	7	87031013	87109751	-	7494	-5.13917526592031	3.75684358948793	8.70235020601957e-07	5.94507812396288e-06	2.04757297463706	0.0574669388970353	-1.52704820781995	1.79428675190651	ATP binding cassette subfamily B	ATP binding cassette subfamily B member 4	NM_000443	Y	Y	N	N	N	N	N	0.0349575928398428	1.95556631014777	0.138791148395983	37.0626177847835	0.0440236056207645
ENSG00000005844	ITGAL	16	30483979	30534506	+	6472	-1.99850649663171	3.26399505516993	0.00174507920318674	0.00587589364883687	1.62654560002881	0.406720844838723	-0.900830568695562	1.47129517664098	CD molecules;Integrin alpha subunits	integrin subunit alpha L	NM_001114380	Y	Y	N	N	N	N	N	0.148233904032069	0.656982933069629	0.23197521617733	3.73625148962584	9.18729318769285
ENSG00000005884	ITGA3	17	48133332	48167845	+	9802	-1.3215790473323	5.22341489868382	0.000449730642737368	0.00173884416896993	4.11774672189861	1.6472394113563	-0.951020074575192	3.80331851873868	CD molecules;Integrin alpha subunits	integrin subunit alpha 3	NM_005501	Y	Y	N	N	N	N	N	3.46435380150136	2.25654730521227	14.4718244967844	0.328716160125746	32.8750507882102
ENSG00000005893	LAMP2	X	119561682	119603220	-	5617	-0.119844885093615	6.34512084660686	0.536128228625624	0.846324182591405	14.6076790874745	13.4424142937989	-0.111944086571056	14.4593726591885	CD molecules	lysosomal associated membrane protein 2	NM_001122606	Y	Y	N	N	N	N	N	22.3980258169126	20.2105644963223	43.7161788053628	46.0519942055506	34.9900516947762
ENSG00000005961	ITGA2B	17	42449548	42466873	-	5551	-1.82681608370596	-0.0491247970011569	0.000676495465260584	0.00251063174601561	0.175860652864075	0.0490412822332208	-0.16464564909379	0.159720005692875	CD molecules;Protein phosphatase 1 regulatory subunits;Integrin alpha subunits	integrin subunit alpha 2b	NM_000419	Y	Y	N	N	N	N	N	0.933951593010694	0.0766333107817072	0.104261109525336	0.0907828661972814	0.554099290106462
ENSG00000006007	GDE1	16	19513015	19533467	-	4412	0.0283112128565648	5.18356325609353	0.847424501914108	1	8.19927993161629	8.35807193180016	0.0246903787088866	8.21948982254878	NULL	glycerophosphodiester phosphodiesterase 1	NM_016641	Y	Y	N	N	N	N	Y	20.4966889511548	33.3971547837047	18.5641503073636	11.0816566144507	11.7680500034432
