"symbol"	"ensembl_gene_id"	"gene_family"	"name"	"refseq_accession"
"A1BG"	"ENSG00000121410"	"Immunoglobulin like domain containing"	"alpha-1-B glycoprotein"	"NM_130786"
"A1CF"	"ENSG00000148584"	"RNA binding motif containing"	"APOBEC1 complementation factor"	"NM_014576"
"A2M"	"ENSG00000175899"	"C3 and PZP like, alpha-2-macroglobulin domain containing"	"alpha-2-macroglobulin"	"NM_000014"
"A2ML1"	"ENSG00000166535"	"C3 and PZP like, alpha-2-macroglobulin domain containing"	"alpha-2-macroglobulin like 1"	"NM_144670"
"A3GALT2"	"ENSG00000184389"	"Glycosyltransferase family 6"	"alpha 1,3-galactosyltransferase 2"	"NM_001080438"
"A4GALT"	"ENSG00000128274"	"Alpha 1,4-glycosyltransferases;Blood group antigens"	"alpha 1,4-galactosyltransferase (P blood group)"	"NM_017436"
"A4GNT"	"ENSG00000118017"	"Alpha 1,4-glycosyltransferases"	"alpha-1,4-N-acetylglucosaminyltransferase"	"NM_016161"
"AAAS"	"ENSG00000094914"	"WD repeat domain containing;Nucleoporins"	"aladin WD repeat nucleoporin"	"NM_001173466"
"AACS"	"ENSG00000081760"	"Acyl-CoA synthetase family"	"acetoacetyl-CoA synthetase"	"NM_023928"
"AADAC"	"ENSG00000114771"	"Lipases;Arylacetamide deacetylase family"	"arylacetamide deacetylase"	"NM_001086"
"AADACL2"	"ENSG00000197953"	"Arylacetamide deacetylase family"	"arylacetamide deacetylase like 2"	"NM_207365"
"AADACL3"	"ENSG00000188984"	"Arylacetamide deacetylase family"	"arylacetamide deacetylase like 3"	"NM_001103170"
"AADACL4"	"ENSG00000204518"	"Arylacetamide deacetylase family"	"arylacetamide deacetylase like 4"	"NM_001013630"
"AADAT"	"ENSG00000109576"	"NULL"	"aminoadipate aminotransferase"	"NM_016228"
"AAGAB"	"ENSG00000103591"	"NULL"	"alpha and gamma adaptin binding protein"	"NM_024666"
"AAK1"	"ENSG00000115977"	"NULL"	"AP2 associated kinase 1"	"NM_014911"
"AAMDC"	"ENSG00000087884"	"NULL"	"adipogenesis associated Mth938 domain containing"	"NM_024684"
"AAMP"	"ENSG00000127837"	"WD repeat domain containing"	"angio associated migratory cell protein"	"NM_001087"
"AANAT"	"ENSG00000129673"	"GCN5 related N-acetyltransferases"	"aralkylamine N-acetyltransferase"	"NM_001088"
"AAR2"	"ENSG00000131043"	"NULL"	"AAR2 splicing factor homolog"	"NM_015511"
"AARD"	"ENSG00000205002"	"NULL"	"alanine and arginine rich domain containing protein"	"NM_001025357"
"AARS"	"ENSG00000090861"	"Aminoacyl tRNA synthetases, Class II"	"alanyl-tRNA synthetase"	"NM_001605"
"AARS2"	"ENSG00000124608"	"Aminoacyl tRNA synthetases, Class II"	"alanyl-tRNA synthetase 2, mitochondrial"	"NM_020745"
"AARSD1"	"ENSG00000266967"	"NULL"	"alanyl-tRNA synthetase domain containing 1"	"NM_001261434"
"AASDH"	"ENSG00000157426"	"Acyl-CoA synthetase family"	"aminoadipate-semialdehyde dehydrogenase"	"NM_181806"
"AASDHPPT"	"ENSG00000149313"	"NULL"	"aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"	"NM_015423"
"AASS"	"ENSG00000008311"	"NULL"	"aminoadipate-semialdehyde synthase"	"NM_005763"
"AATF"	"ENSG00000275700"	"NULL"	"apoptosis antagonizing transcription factor"	"NM_012138"
