GeneID	GeneName	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR	Normals	WT	myLogFC	AvglogFPKM	gene_family	name	refseq_accession	ProteinCoding	CellSurface	ExhaustionMarkers	TranscriptionFactor	CancerGermlineAntigen	PAX3FOXO1	EWSR1FL1	Brain.MeanExp	Heart.MeanExp	Kidney.MeanExp	Liver.MeanExp	Lung.MeanExp
ENSG00000089692	LAG3	12	6881678	6887621	+	3056	0.162108704935108	-0.201543220965287	0.556759590617169	0.839655850075478	0.246238292679387	0.277043226690424	0.035227407885962	0.253000351364736	CD molecules;Immunoglobulin like domain containing	lymphocyte activating 3	NM_002286	Y	Y	Y	N	N	N	N	0.265010151332087	0.119911757222682	0.168507497353231	2.78928408706591	1.53682641697664
ENSG00000105329	TGFB1	19	41807492	41859816	-	3238	-0.634389709588216	2.62594472966768	0.00851596814187829	0.0242624178165599	2.03579668778946	1.31175082317613	-0.393089272007878	1.87685979067922	Endogenous ligands;Transforming growth factor beta family	transforming growth factor beta 1	NM_000660	Y	Y	Y	N	N	N	N	1.25556883396024	2.73690017403652	4.27569861836945	1.5808893809132	25.774083269672
ENSG00000117281	CD160	1	145695798	145715614	-	3991	-0.852313944873782	1.42878490168638	0.000858959686881286	0.00308300139110818	0.721472969803701	0.400768463493692	-0.297425019379848	0.651074419638089	CD molecules;Immunoglobulin like domain containing	CD160 molecule	NM_007053	Y	Y	Y	N	N	N	N	0.475363631228356	0.114267752399838	0.0520046693181465	2.69716668838913	0.751048164523247
ENSG00000120217	CD274	9	5450503	5470566	+	4108	-3.37765586390316	2.22865590131494	3.774552529487e-18	1.05787999109085e-16	1.39688562883103	0.133215108631956	-1.08073932842427	1.11949453903123	CD molecules;Endogenous ligands;V-set domain containing;C2-set domain containing	CD274 molecule	NM_014143	Y	Y	Y	N	N	N	N	0.610937298596283	8.72909534880393	1.08821846771253	0.528880973839319	24.9993596891867
ENSG00000122223	CD244	1	160799950	160832692	-	2904	-3.07128486899624	0.108841876167502	5.01627176751986e-09	4.74190720830314e-08	0.419836193936674	0.0482971212534573	-0.437676814855177	0.338278836518407	CD molecules;Immunoglobulin like domain containing;Ig-like cell adhesion molecule family	CD244 molecule	NM_016382	Y	Y	Y	N	N	N	N	0.257365218809409	0.205277779565074	0.0571851013527971	2.19971576887743	1.22765998845078
ENSG00000125498	KIR2DL1	19	55281263	55295774	+	1674	-1.73748394985033	-3.04721606865494	0.136128593914419	0.270217463372919	0.0188499261930655	0.00352642919376123	-0.0218629496400687	0.0154862317298036	CD molecules;Killer cell immunoglobulin like receptors	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1	NM_014218	Y	Y	Y	N	N	N	N	0	0.0375055289179207	0.00701349891701222	0.00445118204293995	0.218445596016603
ENSG00000128052	KDR	4	55944644	55991756	-	6259	-1.07301186191551	5.43779229272742	0.0001113654505891	0.000479665246405581	7.81026488155731	3.71192584976769	-0.902868558511765	6.9106294843352	Receptor tyrosine kinases;CD molecules;V-set domain containing;I-set domain containing;Immunoglobulin like domain containing	kinase insert domain receptor	NM_002253	Y	Y	Y	N	N	N	N	1.66764331274174	6.03561658793667	18.0614312723358	4.53980007047995	41.9945831811244
ENSG00000131203	IDO1	8	39759794	39785963	+	3261	-2.09076954677638	1.09242702743465	0.000777435300060247	0.00281905591250635	0.750390230423548	0.174943676750578	-0.575084991042874	0.624072694251432	NULL	indoleamine 2,3-dioxygenase 1	NM_002164	Y	N	Y	N	N	N	Y	0	0.579254073979967	0.662509784083425	0.0629860021485113	7.9751223863951
ENSG00000135077	HAVCR2	5	156512843	156569880	-	3804	-1.40794510938656	2.1509672961211	1.99488465974814e-05	9.94605672786461e-05	1.32352103219258	0.498339828970685	-0.632947834547778	1.14238369489997	V-set domain containing	hepatitis A virus cellular receptor 2	NM_032782	Y	Y	Y	N	N	N	N	1.0102059475505	0.553830412858265	9.19394904093873	1.03029157553394	10.4689818833392
ENSG00000139193	CD27	12	6554033	6560884	+	1410	-2.43197326289845	0.179470930301599	7.49270754554538e-06	4.0583740695125e-05	0.894403230884915	0.162855077278153	-0.704072136805322	0.733819489849284	CD molecules;Tumor necrosis factor receptor superfamily	CD27 molecule	NM_001242	Y	Y	Y	N	N	N	N	0.146045234951206	0.225417962381615	0.238920725349759	0.624510463144059	1.73498553509544
ENSG00000150637	CD226	18	67498394	67629039	-	3957	-1.92073090835398	1.17511423877067	2.54709879530449e-07	1.79481163753022e-06	0.651094203298555	0.171541038360457	-0.495014943864564	0.545826435385314	CD molecules;V-set domain containing	CD226 molecule	NM_006566	Y	Y	Y	N	N	N	N	0.0997052182306221	0.0981134102722188	0.256067785944203	0.704785215959264	1.09332695688448
ENSG00000153283	CD96	3	111011566	111384597	+	5762	-2.70966349201807	1.82722271515123	1.29855175913614e-07	9.65912606859163e-07	0.736457970679808	0.111723773407946	-0.643349121495327	0.599321195668911	CD molecules;Immunoglobulin like domain containing;Ig-like cell adhesion molecule family	CD96 molecule	NM_001318889	Y	Y	Y	N	N	N	N	0.0408920249763191	0.135034243845115	0.0841363652870164	1.19832290289891	3.69161854353509
ENSG00000163599	CTLA4	2	204732509	204738683	+	2120	-3.30740736124384	-1.13643746663793	1.86518828189738e-08	1.60957985527252e-07	0.213043994460733	0.0191734431390804	-0.251232284284719	0.170487044170614	CD molecules;V-set domain containing	cytotoxic T-lymphocyte associated protein 4	NM_005214	Y	Y	Y	N	N	N	N	0.114103403084876	0.344801472395803	0.0561807290472683	0.052951117338574	1.51541798310221
ENSG00000163600	ICOS	2	204801471	204826300	+	2645	-3.42343413563602	-0.727295504010772	7.67719707756736e-07	4.97768324351505e-06	0.241415288696355	0.0205767929205516	-0.282601077200004	0.192938545721178	CD molecules	inducible T cell costimulator	NM_012092	Y	Y	Y	N	N	N	N	0.00961460479694552	0.0964007935600208	0.0367804235239143	0.144784227644113	2.65062082225628
ENSG00000168961	LGALS9	17	25956824	25976586	+	5714	-1.31584545471118	2.88209118581857	8.25918182666243e-06	4.4356220319542e-05	1.46623546275654	0.588742076191394	-0.634425617151891	1.27361496326663	Galectins	galectin 9	NM_009587	Y	N	Y	N	N	N	N	0.645957871801458	1.9766600501662	0.883398135839439	0.999828343679046	10.124769289155
ENSG00000181847	TIGIT	3	113995760	114029135	+	6091	-2.1293183508812	0.479020277280947	7.7666736569686e-06	4.1933271042605e-05	0.256673050165386	0.0583472098406358	-0.247796344055426	0.213138109606295	V-set domain containing	T cell immunoreceptor with Ig and ITIM domains	NM_173799	Y	Y	Y	N	N	N	N	0.0319647872679482	0.0942935868465475	0.064717369449444	0.330558342369229	0.816825555384848
ENSG00000182578	CSF1R	5	149432854	149492935	-	5151	-0.665587424814785	4.30909196630011	0.00784196180895366	0.0225634407743898	4.16815859341998	2.6277970123861	-0.510556607756348	3.83003044148572	Receptor tyrosine kinases;CD molecules;Immunoglobulin like domain containing	colony stimulating factor 1 receptor	NM_005211	Y	Y	Y	N	N	N	N	3.43856806323672	3.27793243354642	0.547459535823937	1.40848429212912	7.83877122874748
ENSG00000186265	BTLA	3	112182815	112218408	-	3697	-0.512858916385952	0.188152826701403	0.389749006117917	0.642151526342341	0.300394116278204	0.211717828420141	-0.101895154685578	0.280928589675215	CD molecules;Immunoglobulin like domain containing	B and T lymphocyte associated	NM_181780	Y	Y	Y	N	N	N	N	0.0245710667845534	0.0312786213045269	0.0281317570108209	0.146441933113824	0.351331958774961
ENSG00000188389	PDCD1	2	242792033	242801060	-	2114	-0.875204018229342	-0.869526534362587	0.0482734062361029	0.111530765783188	0.237847744161665	0.129268844737582	-0.132444884283938	0.214013351605159	CD molecules;V-set domain containing	programmed cell death 1	NM_005018	Y	Y	Y	N	N	N	N	0.0290019684028936	0.387448975434956	0.194413770547394	0.104321444702998	1.7257198378985
ENSG00000197646	PDCD1LG2	9	5510545	5571282	+	2418	-1.84325255821359	0.955145126887515	6.14841940942137e-10	6.71199443573416e-09	0.907675938667334	0.252803240297376	-0.606656269019641	0.763923395122709	CD molecules;Endogenous ligands;Immunoglobulin like domain containing	programmed cell death 1 ligand 2	NM_025239	Y	Y	Y	N	N	N	N	0.0909488823994994	1.01939104916138	0.534878985840227	0.968938029260125	3.68919586258129
ENSG00000243646	IL10RB	21	34638663	34669539	+	2545	-0.518028648959298	3.55580759680766	0.0095970927296887	0.0269733245723104	4.90859177047235	3.42834083347501	-0.416048059909158	4.58365863796074	CD molecules;Interleukin receptors	interleukin 10 receptor subunit beta	NM_000628	Y	Y	Y	N	N	N	N	2.16676130361955	4.8247775044701	7.28950149203939	16.6215482194832	18.5099101535225
