GeneID	GeneName	Chr	Start	End	Strand	Length	logFC	logCPM	PValue	FDR	Normals	WT	myLogFC	AvglogFPKM	gene_family	name	refseq_accession	ProteinCoding	CellSurface	ExhaustionMarkers	TranscriptionFactor	CancerGermlineAntigen	PAX3FOXO1	EWSR1FL1	Brain.MeanExp	Heart.MeanExp	Kidney.MeanExp	Liver.MeanExp	Lung.MeanExp
ENSG00000002586	CD99	X	2609220	2659350	+	3284	-0.385682211092011	5.26245755144208	0.087960552009187	0.187002510757352	12.2930700356012	9.40892941935403	-0.352852641633657	11.6599659978884	Blood group antigens;CD molecules;Pseudoautosomal region 1	CD99 molecule (Xg blood group)	NM_001122898	Y	Y	N	N	Y	N	Y	4.3437040123055	25.0153739428883	8.84515390310944	23.235036263542	28.6676014308198
ENSG00000004848	ARX	X	25021811	25034065	-	2876	-2.92507924284143	-0.842903110891997	0.00317910707251776	0.0100032913261232	0.202915821219761	0.0248348886667145	-0.231144192174433	0.163824884805678	X-linked mental retardation;PRD class homeoboxes and pseudogenes	aristaless related homeobox	NM_139058	Y	N	N	Y	Y	N	N	1.56176118269153	0	0	0	0.0555253822743463
ENSG00000007202	KIAA0100	17	26941458	26972472	-	9235	0.225432033423848	7.04379832821344	0.0385644321259881	0.0916348872257469	13.7663553906259	16.0942342013925	0.21119600718517	14.2773531783552	NULL	KIAA0100	NM_014680	Y	Y	N	N	Y	N	N	15.3474392872183	12.1302775207046	20.4799088010508	3.2908347662436	11.7570317707832
ENSG00000008294	SPAG9	17	49039535	49198226	-	11948	-0.468600273018608	7.08099299246638	3.10777291565191e-05	0.000148717133268686	12.0581572676822	8.7138107414571	-0.426842038900701	11.324032420462	NULL	sperm associated antigen 9	NM_003971	Y	Y	N	N	Y	N	N	21.6903257787119	9.53365974991457	12.0722034379401	9.7469487482083	17.9820102126755
ENSG00000046774	MAGEC2	X	141290131	141293076	-	1991	0.904631153158988	-3.30775634095121	0.133249637290992	0.2653905660333	0.0025671262022379	0.00717042906426585	0.00660899609247855	0.00357760731829282	MAGE family	MAGE family member C2	NM_016249	Y	N	N	N	Y	N	N	0	0	0	0	0
ENSG00000052126	PLEKHA5	12	19282648	19529334	+	12596	-0.113129196161065	5.59398194719109	0.556264568255072	0.839280265441215	3.89170483640016	3.59816701616921	-0.0892784857618629	3.82726970512995	Pleckstrin homology domain containing	pleckstrin homology domain containing A5	NM_019012	Y	N	N	N	Y	N	N	3.20575202705559	9.48122142723887	7.68016984793341	3.32974374805811	2.82677293725076
ENSG00000054796	SPO11	20	55904815	55919050	+	1867	0.487079216870957	-3.39091307688589	0.427082865496973	0.691167125826616	0.000663561430225251	0.00234583651398429	0.0024233640580046	0.00103284132666016	NULL	SPO11, initiator of meiotic double stranded breaks	NM_012444	Y	N	N	N	Y	N	N	0	0	0	0	0
ENSG00000061656	SPAG4	20	34203814	34208971	+	2240	-0.851965760166349	0.773871676954276	0.0235430304357086	0.0594874025502096	0.806802296010699	0.442656444601677	-0.324710876065954	0.726867840823352	NULL	sperm associated antigen 4	NM_003116	Y	Y	N	N	Y	N	N	0.375294506279998	0.499359989677159	0.764649092520528	0.690205641244834	0.523384804483848
ENSG00000064199	SPA17	11	124543694	124567414	+	5205	1.68315851191675	1.71716943819685	7.55399011538684e-18	2.07157150944393e-16	0.41149283599135	1.32654258508239	0.720965788024702	0.612357415060116	NULL	sperm autoantigenic protein 17	NM_017425	Y	N	N	N	Y	N	N	1.04339332295208	0.58938119496998	1.997207181294	0.1778849901933	1.23207111084201
ENSG00000065371	ROPN1	3	123687368	123711025	-	4395	-0.854382567292288	-2.81367997225186	0.160007851893076	0.309146011834709	0.0127665296407696	0.00638458470992973	-0.00911990281250504	0.0113656148998536	NULL	rhophilin associated tail protein 1	NM_017578	Y	N	N	N	Y	N	N	0.0329522006312013	0.116809532998418	0	0.00706416262787398	0.0029280536325566
